Tanggal,Waktu,Beban
1/1/2019,siang,56
1/1/2019,malam,87
1/2/2019,siang,72
1/2/2019,malam,95
1/3/2019,siang,93
1/3/2019,malam,88
1/4/2019,siang,72
1/4/2019,malam,101
1/5/2019,siang,87
1/5/2019,malam,80
1/6/2019,siang,50
1/6/2019,malam,86
1/7/2019,siang,93
1/7/2019,malam,85
1/8/2019,siang,86
1/8/2019,malam,87
1/9/2019,siang,82
1/9/2019,malam,96
1/10/2019,siang,88
1/10/2019,malam,87
1/11/2019,siang,74
1/11/2019,malam,87
1/12/2019,siang,72
1/12/2019,malam,85
1/13/2019,siang,175
1/13/2019,malam,86
1/14/2019,siang,94
1/14/2019,malam,81
1/15/2019,siang,86
1/15/2019,malam,86
1/16/2019,siang,85
1/16/2019,malam,81
1/17/2019,siang,81
1/17/2019,malam,93
1/18/2019,siang,75
1/18/2019,malam,74
1/19/2019,siang,93
1/19/2019,malam,88
1/20/2019,siang,82
1/20/2019,malam,86
1/21/2019,siang,79
1/21/2019,malam,95
1/22/2019,siang,97
1/22/2019,malam,90
1/23/2019,siang,82
1/23/2019,malam,85
1/24/2019,siang,72
1/24/2019,malam,85
1/25/2019,siang,85
1/25/2019,malam,95
1/26/2019,siang,95
1/26/2019,malam,94
1/27/2019,siang,63
1/27/2019,malam,91
1/28/2019,siang,77
1/28/2019,malam,95
1/29/2019,siang,230
1/29/2019,malam,93
1/30/2019,siang,79
1/30/2019,malam,92
1/31/2019,siang,82
1/31/2019,malam,NaN
2/1/2019,siang,87
2/1/2019,malam,85
2/2/2019,siang,92
2/2/2019,malam,90
2/3/2019,siang,65
2/3/2019,malam,90
2/4/2019,siang,80
2/4/2019,malam,85
2/5/2019,siang,72
2/5/2019,malam,85
2/6/2019,siang,82
2/6/2019,malam,89
2/7/2019,siang,86
2/7/2019,malam,83
2/8/2019,siang,78
2/8/2019,malam,91
2/9/2019,siang,62
2/9/2019,malam,81
2/10/2019,siang,40
2/10/2019,malam,80
2/11/2019,siang,76
2/11/2019,malam,83
2/12/2019,siang,66
2/12/2019,malam,86
2/13/2019,siang,65
2/13/2019,malam,93
2/14/2019,siang,73
2/14/2019,malam,93
2/15/2019,siang,83
2/15/2019,malam,16
2/16/2019,siang,85
2/16/2019,malam,88
2/17/2019,siang,80
2/17/2019,malam,90
2/18/2019,siang,86
2/18/2019,malam,90
2/19/2019,siang,81
2/19/2019,malam,17
2/20/2019,siang,0
2/20/2019,malam,85
2/21/2019,siang,80
2/21/2019,malam,91
2/22/2019,siang,72
2/22/2019,malam,91
2/23/2019,siang,87
2/23/2019,malam,85
2/24/2019,siang,75
2/24/2019,malam,85
2/25/2019,siang,78
2/25/2019,malam,75
2/26/2019,siang,75
2/26/2019,malam,98
2/27/2019,siang,68
2/27/2019,malam,97
2/28/2019,siang,72
2/28/2019,malam,NaN
3/1/2019,siang,74
3/1/2019,malam,87
3/2/2019,siang,73
3/2/2019,malam,90
3/3/2019,siang,63
3/3/2019,malam,86
3/4/2019,siang,64
3/4/2019,malam,85
3/5/2019,siang,64
3/5/2019,malam,87
3/6/2019,siang,63
3/6/2019,malam,91
3/7/2019,siang,20
3/7/2019,malam,82
3/8/2019,siang,78
3/8/2019,malam,87
3/9/2019,siang,80
3/9/2019,malam,100
3/10/2019,siang,70
3/10/2019,malam,92
3/11/2019,siang,68
3/11/2019,malam,93
3/12/2019,siang,90
3/12/2019,malam,100
3/13/2019,siang,98
3/13/2019,malam,90
3/14/2019,siang,95
3/14/2019,malam,84
3/15/2019,siang,73
3/15/2019,malam,150
3/16/2019,siang,90
3/16/2019,malam,87
3/17/2019,siang,64
3/17/2019,malam,90
3/18/2019,siang,70
3/18/2019,malam,83
3/19/2019,siang,73
3/19/2019,malam,91
3/20/2019,siang,76
3/20/2019,malam,88
3/21/2019,siang,80
3/21/2019,malam,80
3/22/2019,siang,77
3/22/2019,malam,36
3/23/2019,siang,82
3/23/2019,malam,89
3/24/2019,siang,55
3/24/2019,malam,85
3/25/2019,siang,73
3/25/2019,malam,79
3/26/2019,siang,89
3/26/2019,malam,92
3/27/2019,siang,70
3/27/2019,malam,94
3/28/2019,siang,80
3/28/2019,malam,90
3/29/2019,siang,78
3/29/2019,malam,100
3/30/2019,siang,95
3/30/2019,malam,90
3/31/2019,siang,121
3/31/2019,malam,84
4/1/2019,siang,87
4/1/2019,malam,95
4/2/2019,siang,87
4/2/2019,malam,100
4/3/2019,siang,70
4/3/2019,malam,96
4/4/2019,siang,87
4/4/2019,malam,93
4/5/2019,siang,87
4/5/2019,malam,92
4/6/2019,siang,85
4/6/2019,malam,96
4/7/2019,siang,65
4/7/2019,malam,94
4/8/2019,siang,81
4/8/2019,malam,90
4/9/2019,siang,70
4/9/2019,malam,88
4/10/2019,siang,91
4/10/2019,malam,96
4/11/2019,siang,70
4/11/2019,malam,97
4/12/2019,siang,96
4/12/2019,malam,101
4/13/2019,siang,88
4/13/2019,malam,95
4/14/2019,siang,60
4/14/2019,malam,88
4/15/2019,siang,80
4/15/2019,malam,93
4/16/2019,siang,88
4/16/2019,malam,96
4/17/2019,siang,47
4/17/2019,malam,87
4/18/2019,siang,89
4/18/2019,malam,95
4/19/2019,siang,75
