Tanggal,Waktu,Beban
1/1/2019,siang,120
1/1/2019,malam,180
1/2/2019,siang,17
1/2/2019,malam,185
1/3/2019,siang,169
1/3/2019,malam,193
1/4/2019,siang,185
1/4/2019,malam,230
1/5/2019,siang,202
1/5/2019,malam,226
1/6/2019,siang,177
1/6/2019,malam,196
1/7/2019,siang,210
1/7/2019,malam,215
1/8/2019,siang,200
1/8/2019,malam,215
1/9/2019,siang,200
1/9/2019,malam,227
1/10/2019,siang,198
1/10/2019,malam,215
1/11/2019,siang,215
1/11/2019,malam,270
1/12/2019,siang,207
1/12/2019,malam,215
1/13/2019,siang,165
1/13/2019,malam,202
1/14/2019,siang,198
1/14/2019,malam,225
1/15/2019,siang,200
1/15/2019,malam,228
1/16/2019,siang,206
1/16/2019,malam,211
1/17/2019,siang,211
1/17/2019,malam,216
1/18/2019,siang,200
1/18/2019,malam,211
1/19/2019,siang,202
1/19/2019,malam,212
1/20/2019,siang,179
1/20/2019,malam,204
1/21/2019,siang,209
1/21/2019,malam,226
1/22/2019,siang,200
1/22/2019,malam,200
1/23/2019,siang,203
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,226
1/26/2019,siang,200
1/26/2019,malam,225
1/27/2019,siang,168
1/27/2019,malam,191
1/28/2019,siang,193
1/28/2019,malam,25
1/29/2019,siang,200
1/29/2019,malam,232
1/30/2019,siang,194
1/30/2019,malam,232
1/31/2019,siang,195
1/31/2019,malam,NaN
2/1/2019,siang,191
2/1/2019,malam,222
2/2/2019,siang,200
2/2/2019,malam,220
2/3/2019,siang,104
2/3/2019,malam,222
2/4/2019,siang,154
2/4/2019,malam,193
2/5/2019,siang,209
2/5/2019,malam,230
2/6/2019,siang,196
2/6/2019,malam,220
2/7/2019,siang,201
2/7/2019,malam,235
2/8/2019,siang,205
2/8/2019,malam,220
2/9/2019,siang,205
2/9/2019,malam,215
2/10/2019,siang,160
2/10/2019,malam,207
2/11/2019,siang,206
2/11/2019,malam,218
2/12/2019,siang,202
2/12/2019,malam,232
2/13/2019,siang,205
2/13/2019,malam,240
2/14/2019,siang,204
2/14/2019,malam,236
2/15/2019,siang,219
2/15/2019,malam,223
2/16/2019,siang,206
2/16/2019,malam,222
2/17/2019,siang,156
2/17/2019,malam,206
2/18/2019,siang,199
2/18/2019,malam,225
