Tanggal,Waktu,Beban
1/1/2019,siang,95
1/1/2019,malam,135
1/2/2019,siang,87
1/2/2019,malam,132
1/3/2019,siang,86
1/3/2019,malam,126
1/4/2019,siang,89
1/4/2019,malam,125
1/5/2019,siang,85
1/5/2019,malam,124
1/6/2019,siang,95
1/6/2019,malam,131
1/7/2019,siang,92
1/7/2019,malam,96
1/8/2019,siang,86
1/8/2019,malam,115
1/9/2019,siang,86
1/9/2019,malam,135
1/10/2019,siang,86
1/10/2019,malam,115
1/11/2019,siang,91
1/11/2019,malam,17
1/12/2019,siang,92
1/12/2019,malam,115
1/13/2019,siang,91
1/13/2019,malam,132
1/14/2019,siang,88
1/14/2019,malam,123
1/15/2019,siang,86
1/15/2019,malam,120
1/16/2019,siang,86
1/16/2019,malam,120
1/17/2019,siang,85
1/17/2019,malam,125
1/18/2019,siang,83
1/18/2019,malam,116
1/19/2019,siang,86
1/19/2019,malam,146
1/20/2019,siang,90
1/20/2019,malam,115
1/21/2019,siang,85
1/21/2019,malam,128
1/22/2019,siang,84
1/22/2019,malam,84
1/23/2019,siang,84
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,119
1/26/2019,siang,85
1/26/2019,malam,131
1/27/2019,siang,89
1/27/2019,malam,128
1/28/2019,siang,84
1/28/2019,malam,130
1/29/2019,siang,86
1/29/2019,malam,130
1/30/2019,siang,91
1/30/2019,malam,133
1/31/2019,siang,87
1/31/2019,malam,NaN
2/1/2019,siang,85
2/1/2019,malam,130
2/2/2019,siang,85
2/2/2019,malam,120
2/3/2019,siang,87
2/3/2019,malam,130
2/4/2019,siang,86
2/4/2019,malam,123
2/5/2019,siang,90
2/5/2019,malam,124
2/6/2019,siang,85
2/6/2019,malam,121
2/7/2019,siang,87
2/7/2019,malam,127
2/8/2019,siang,87
2/8/2019,malam,128
2/9/2019,siang,87
2/9/2019,malam,115
2/10/2019,siang,92
2/10/2019,malam,128
2/11/2019,siang,87
2/11/2019,malam,125
2/12/2019,siang,85
2/12/2019,malam,129
2/13/2019,siang,89
2/13/2019,malam,133
2/14/2019,siang,91
2/14/2019,malam,129
2/15/2019,siang,89
2/15/2019,malam,16
2/16/2019,siang,85
2/16/2019,malam,130
2/17/2019,siang,90
2/17/2019,malam,132
2/18/2019,siang,87
2/18/2019,malam,129
2/19/2019,siang,86
2/19/2019,malam,130
2/20/2019,siang,88
2/20/2019,malam,120
2/21/2019,siang,80
2/21/2019,malam,132
2/22/2019,siang,86
2/22/2019,malam,126
2/23/2019,siang,89
2/23/2019,malam,127
2/24/2019,siang,91
2/24/2019,malam,165
2/25/2019,siang,85
2/25/2019,malam,110
2/26/2019,siang,86
2/26/2019,malam,135
2/27/2019,siang,88
2/27/2019,malam,135
2/28/2019,siang,90
2/28/2019,malam,NaN
3/1/2019,siang,93
3/1/2019,malam,115
3/2/2019,siang,88
3/2/2019,malam,130
3/3/2019,siang,90
3/3/2019,malam,130
3/4/2019,siang,87
3/4/2019,malam,137
3/5/2019,siang,89
3/5/2019,malam,126
3/6/2019,siang,84
3/6/2019,malam,126
3/7/2019,siang,84
3/7/2019,malam,120
3/8/2019,siang,85
3/8/2019,malam,130
3/9/2019,siang,82
3/9/2019,malam,135
3/10/2019,siang,89
3/10/2019,malam,133
3/11/2019,siang,88
3/11/2019,malam,132
3/12/2019,siang,88
3/12/2019,malam,129
3/13/2019,siang,87
3/13/2019,malam,126
3/14/2019,siang,85
3/14/2019,malam,130
3/15/2019,siang,83
3/15/2019,malam,125
3/16/2019,siang,86
3/16/2019,malam,127
3/17/2019,siang,87
3/17/2019,malam,135
3/18/2019,siang,85
3/18/2019,malam,123
3/19/2019,siang,87
3/19/2019,malam,116
3/20/2019,siang,86
3/20/2019,malam,120
3/21/2019,siang,86
3/21/2019,malam,110
3/22/2019,siang,86
3/22/2019,malam,131
3/23/2019,siang,90
3/23/2019,malam,121
3/24/2019,siang,85
3/24/2019,malam,124
3/25/2019,siang,86
3/25/2019,malam,116
3/26/2019,siang,89
3/26/2019,malam,120
3/27/2019,siang,87
3/27/2019,malam,128
3/28/2019,siang,88
3/28/2019,malam,124
3/29/2019,siang,86
3/29/2019,malam,135
3/30/2019,siang,85
3/30/2019,malam,117
3/31/2019,siang,88
3/31/2019,malam,129
4/1/2019,siang,88
4/1/2019,malam,NaN
4/2/2019,siang,94
4/2/2019,malam,140
4/3/2019,siang,0
4/3/2019,malam,130
4/4/2019,siang,91
4/4/2019,malam,127
4/5/2019,siang,91
4/5/2019,malam,111
4/6/2019,siang,91
4/6/2019,malam,130
4/7/2019,siang,95
4/7/2019,malam,132
4/8/2019,siang,91
4/8/2019,malam,133
4/9/2019,siang,90
4/9/2019,malam,132
4/10/2019,siang,89
4/10/2019,malam,131
4/11/2019,siang,89
4/11/2019,malam,127
4/12/2019,siang,96
4/12/2019,malam,133
4/13/2019,siang,90
4/13/2019,malam,0
4/14/2019,siang,0
4/14/2019,malam,130
4/15/2019,siang,90
4/15/2019,malam,128
4/16/2019,siang,88
4/16/2019,malam,131
4/17/2019,siang,89
4/17/2019,malam,128
4/18/2019,siang,95
4/18/2019,malam,137
4/19/2019,siang,100
4/19/2019,malam,134
4/20/2019,siang,93
4/20/2019,malam,132
4/21/2019,siang,92
4/21/2019,malam,132
4/22/2019,siang,90
4/22/2019,malam,136
4/23/2019,siang,95
4/23/2019,malam,133
4/24/2019,siang,93
4/24/2019,malam,135
4/25/2019,siang,NaN
