Tanggal,Waktu,Beban
1/1/2019,siang,111
1/1/2019,malam,185
1/2/2019,siang,165
1/2/2019,malam,187
1/3/2019,siang,162
1/3/2019,malam,277
1/4/2019,siang,134
1/4/2019,malam,187
1/5/2019,siang,180
1/5/2019,malam,187
1/6/2019,siang,150
1/6/2019,malam,191
1/7/2019,siang,218
1/7/2019,malam,189
1/8/2019,siang,176
1/8/2019,malam,180
1/9/2019,siang,215
1/9/2019,malam,273
1/10/2019,siang,215
1/10/2019,malam,180
1/11/2019,siang,168
1/11/2019,malam,120
1/12/2019,siang,130
1/12/2019,malam,141
1/13/2019,siang,0
1/13/2019,malam,182
1/14/2019,siang,180
1/14/2019,malam,182
1/15/2019,siang,168
1/15/2019,malam,187
1/16/2019,siang,172
1/16/2019,malam,166
1/17/2019,siang,183
1/17/2019,malam,178
1/18/2019,siang,166
1/18/2019,malam,165
1/19/2019,siang,172
1/19/2019,malam,181
1/20/2019,siang,135
1/20/2019,malam,182
1/21/2019,siang,165
1/21/2019,malam,181
1/22/2019,siang,205
1/22/2019,malam,148
1/23/2019,siang,185
1/23/2019,malam,234
1/24/2019,siang,212
1/24/2019,malam,240
1/25/2019,siang,175
1/25/2019,malam,170
1/26/2019,siang,166
1/26/2019,malam,184
1/27/2019,siang,110
1/27/2019,malam,180
1/28/2019,siang,150
1/28/2019,malam,187
1/29/2019,siang,0
1/29/2019,malam,187
1/30/2019,siang,162
1/30/2019,malam,187
1/31/2019,siang,153
1/31/2019,malam,NaN
2/1/2019,siang,185
2/1/2019,malam,180
2/2/2019,siang,170
2/2/2019,malam,182
2/3/2019,siang,126
2/3/2019,malam,180
2/4/2019,siang,171
2/4/2019,malam,168
2/5/2019,siang,128
2/5/2019,malam,181
2/6/2019,siang,170
2/6/2019,malam,195
2/7/2019,siang,166
2/7/2019,malam,187
2/8/2019,siang,179
2/8/2019,malam,192
2/9/2019,siang,174
2/9/2019,malam,172
2/10/2019,siang,122
2/10/2019,malam,166
2/11/2019,siang,162
2/11/2019,malam,185
2/12/2019,siang,188
2/12/2019,malam,191
2/13/2019,siang,153
2/13/2019,malam,187
2/14/2019,siang,178
2/14/2019,malam,188
2/15/2019,siang,178
2/15/2019,malam,23
2/16/2019,siang,188
2/16/2019,malam,187
2/17/2019,siang,140
2/17/2019,malam,143
2/18/2019,siang,166
2/18/2019,malam,136
2/19/2019,siang,147
2/19/2019,malam,88
2/20/2019,siang,128
2/20/2019,malam,120
2/21/2019,siang,130
2/21/2019,malam,132
2/22/2019,siang,143
2/22/2019,malam,150
2/23/2019,siang,106
2/23/2019,malam,155
2/24/2019,siang,96
2/24/2019,malam,150
2/25/2019,siang,155
2/25/2019,malam,160
2/26/2019,siang,171
2/26/2019,malam,199
2/27/2019,siang,182
2/27/2019,malam,200
2/28/2019,siang,181
2/28/2019,malam,NaN
3/1/2019,siang,171
3/1/2019,malam,195
3/2/2019,siang,174
3/2/2019,malam,184
3/3/2019,siang,122
3/3/2019,malam,184
3/4/2019,siang,177
3/4/2019,malam,193
3/5/2019,siang,216
3/5/2019,malam,148
3/6/2019,siang,145
3/6/2019,malam,185
3/7/2019,siang,177
3/7/2019,malam,182
3/8/2019,siang,168
3/8/2019,malam,195
3/9/2019,siang,168
3/9/2019,malam,188
3/10/2019,siang,115
3/10/2019,malam,189
3/11/2019,siang,180
3/11/2019,malam,193
3/12/2019,siang,185
3/12/2019,malam,196
3/13/2019,siang,181
3/13/2019,malam,192
3/14/2019,siang,195
3/14/2019,malam,188
3/15/2019,siang,163
3/15/2019,malam,143
3/16/2019,siang,245
3/16/2019,malam,187
3/17/2019,siang,113
3/17/2019,malam,190
3/18/2019,siang,150
3/18/2019,malam,187
3/19/2019,siang,201
3/19/2019,malam,182
3/20/2019,siang,221
3/20/2019,malam,160
3/21/2019,siang,141
3/21/2019,malam,135
3/22/2019,siang,140
3/22/2019,malam,157
3/23/2019,siang,145
3/23/2019,malam,152
