Tanggal,Waktu,Beban
1/1/2019,siang,80
1/1/2019,malam,113
1/2/2019,siang,138
1/2/2019,malam,128
1/3/2019,siang,141
1/3/2019,malam,128
1/4/2019,siang,138
1/4/2019,malam,135
1/5/2019,siang,140
1/5/2019,malam,132
1/6/2019,siang,91
1/6/2019,malam,120
1/7/2019,siang,141
1/7/2019,malam,132
1/8/2019,siang,134
1/8/2019,malam,130
1/9/2019,siang,140
1/9/2019,malam,134
1/10/2019,siang,141
1/10/2019,malam,130
1/11/2019,siang,143
1/11/2019,malam,122
1/12/2019,siang,136
1/12/2019,malam,115
1/13/2019,siang,0
1/13/2019,malam,113
1/14/2019,siang,141
1/14/2019,malam,122
1/15/2019,siang,140
1/15/2019,malam,126
1/16/2019,siang,141
1/16/2019,malam,125
1/17/2019,siang,141
1/17/2019,malam,122
1/18/2019,siang,136
1/18/2019,malam,115
1/19/2019,siang,0
1/19/2019,malam,120
1/20/2019,siang,82
1/20/2019,malam,111
1/21/2019,siang,136
1/21/2019,malam,126
1/22/2019,siang,134
1/22/2019,malam,126
1/23/2019,siang,136
1/23/2019,malam,120
1/24/2019,siang,139
1/24/2019,malam,122
1/25/2019,siang,140
1/25/2019,malam,120
1/26/2019,siang,132
1/26/2019,malam,115
1/27/2019,siang,75
1/27/2019,malam,113
1/28/2019,siang,134
1/28/2019,malam,126
1/29/2019,siang,140
1/29/2019,malam,130
1/30/2019,siang,101
1/30/2019,malam,126
1/31/2019,siang,138
1/31/2019,malam,NaN
2/1/2019,siang,138
2/1/2019,malam,115
2/2/2019,siang,130
2/2/2019,malam,115
2/3/2019,siang,78
2/3/2019,malam,115
2/4/2019,siang,93
2/4/2019,malam,120
2/5/2019,siang,82
2/5/2019,malam,111
2/6/2019,siang,130
2/6/2019,malam,124
2/7/2019,siang,136
2/7/2019,malam,128
2/8/2019,siang,133
2/8/2019,malam,128
2/9/2019,siang,118
2/9/2019,malam,110
2/10/2019,siang,85
2/10/2019,malam,113
2/11/2019,siang,141
2/11/2019,malam,118
2/12/2019,siang,138
2/12/2019,malam,124
2/13/2019,siang,136
2/13/2019,malam,132
2/14/2019,siang,139
2/14/2019,malam,128
2/15/2019,siang,141
2/15/2019,malam,120
2/16/2019,siang,124
2/16/2019,malam,120
2/17/2019,siang,82
2/17/2019,malam,115
2/18/2019,siang,138
2/18/2019,malam,124
2/19/2019,siang,130
2/19/2019,malam,126
2/20/2019,siang,128
2/20/2019,malam,120
2/21/2019,siang,130
2/21/2019,malam,125
2/22/2019,siang,134
2/22/2019,malam,120
2/23/2019,siang,124
2/23/2019,malam,120
2/24/2019,siang,78
2/24/2019,malam,115
2/25/2019,siang,126
2/25/2019,malam,115
2/26/2019,siang,128
2/26/2019,malam,130
2/27/2019,siang,128
2/27/2019,malam,134
2/28/2019,siang,132
2/28/2019,malam,NaN
3/1/2019,siang,134
3/1/2019,malam,122
3/2/2019,siang,130
3/2/2019,malam,124
3/3/2019,siang,78
3/3/2019,malam,113
3/4/2019,siang,126
3/4/2019,malam,130
3/5/2019,siang,130
3/5/2019,malam,106
3/6/2019,siang,124
3/6/2019,malam,118
3/7/2019,siang,82
3/7/2019,malam,104
3/8/2019,siang,122
3/8/2019,malam,120
3/9/2019,siang,125
3/9/2019,malam,122
3/10/2019,siang,75
3/10/2019,malam,122
3/11/2019,siang,130
3/11/2019,malam,126
3/12/2019,siang,126
3/12/2019,malam,134
3/13/2019,siang,134
3/13/2019,malam,130
3/14/2019,siang,130
3/14/2019,malam,126
3/15/2019,siang,128
3/15/2019,malam,124
3/16/2019,siang,130
3/16/2019,malam,115
3/17/2019,siang,78
3/17/2019,malam,118
3/18/2019,siang,130
3/18/2019,malam,126
3/19/2019,siang,132
3/19/2019,malam,113
3/20/2019,siang,131
3/20/2019,malam,115
3/21/2019,siang,136
3/21/2019,malam,111
3/22/2019,siang,136
3/22/2019,malam,130
3/23/2019,siang,135
3/23/2019,malam,111
3/24/2019,siang,75
3/24/2019,malam,111
3/25/2019,siang,136
3/25/2019,malam,115
3/26/2019,siang,136
3/26/2019,malam,126
3/27/2019,siang,136
3/27/2019,malam,128
3/28/2019,siang,132
3/28/2019,malam,122
3/29/2019,siang,132
3/29/2019,malam,130
3/30/2019,siang,130
3/30/2019,malam,111
3/31/2019,siang,88
3/31/2019,malam,120
4/1/2019,siang,139
4/1/2019,malam,227
4/2/2019,siang,216
4/2/2019,malam,226
4/3/2019,siang,182
4/3/2019,malam,245
4/4/2019,siang,132
4/4/2019,malam,125
4/5/2019,siang,134
4/5/2019,malam,120
4/6/2019,siang,136
4/6/2019,malam,126
4/7/2019,siang,225
4/7/2019,malam,115
4/8/2019,siang,136
4/8/2019,malam,124
4/9/2019,siang,132
4/9/2019,malam,133
4/10/2019,siang,227
4/10/2019,malam,238
4/11/2019,siang,221
4/11/2019,malam,227
4/12/2019,siang,221
4/12/2019,malam,235
4/13/2019,siang,221
4/13/2019,malam,230
4/14/2019,siang,175
4/14/2019,malam,115
4/15/2019,siang,135
4/15/2019,malam,130
4/16/2019,siang,130
4/16/2019,malam,126
4/17/2019,siang,78
4/17/2019,malam,115
4/18/2019,siang,138
4/18/2019,malam,136
4/19/2019,siang,101
4/19/2019,malam,122
4/20/2019,siang,139
4/20/2019,malam,130
4/21/2019,siang,132
4/21/2019,malam,120
4/22/2019,siang,143
4/22/2019,malam,140
4/23/2019,siang,145
4/23/2019,malam,139
4/24/2019,siang,141
4/24/2019,malam,134
4/25/2019,siang,140
4/25/2019,malam,136
4/26/2019,siang,132
4/26/2019,malam,136
4/27/2019,siang,136
4/27/2019,malam,126
4/28/2019,siang,NaN
4/28/2019,malam,NaN
4/29/2019,siang,NaN
4/29/2019,malam,NaN
4/30/2019,siang,NaN
4/30/2019,malam,NaN
5/1/2019,siang,82
5/1/2019,malam,118
5/2/2019,siang,136
5/2/2019,malam,147
5/3/2019,siang,145
5/3/2019,malam,141
5/4/2019,siang,134
5/4/2019,malam,135
5/5/2019,siang,91
5/5/2019,malam,124
5/6/2019,siang,122
5/6/2019,malam,130
5/7/2019,siang,135
5/7/2019,malam,138
5/8/2019,siang,132
5/8/2019,malam,145
5/9/2019,siang,132
5/9/2019,malam,138
5/10/2019,siang,136
5/10/2019,malam,141
5/11/2019,siang,0
5/11/2019,malam,130
5/12/2019,siang,80
5/12/2019,malam,126
5/13/2019,siang,130
5/13/2019,malam,136
5/14/2019,siang,138
5/14/2019,malam,134
5/15/2019,siang,138
5/15/2019,malam,141
5/16/2019,siang,134
5/16/2019,malam,126
5/17/2019,siang,130
5/17/2019,malam,136
5/18/2019,siang,130
5/18/2019,malam,124
5/19/2019,siang,99
5/19/2019,malam,122
5/20/2019,siang,135
5/20/2019,malam,130
5/21/2019,siang,130
5/21/2019,malam,143
5/22/2019,siang,130
5/22/2019,malam,143
5/23/2019,siang,141
5/23/2019,malam,149
5/24/2019,siang,132
5/24/2019,malam,140
5/25/2019,siang,132
5/25/2019,malam,130
5/26/2019,siang,96
5/26/2019,malam,122
5/27/2019,siang,136
5/27/2019,malam,147
5/28/2019,siang,136
