Tanggal,Waktu,Beban
1/1/2019,siang,70
1/1/2019,malam,69
1/2/2019,siang,80
1/2/2019,malam,70
1/3/2019,siang,45
1/3/2019,malam,39
1/4/2019,siang,45
1/4/2019,malam,56
1/5/2019,siang,110
1/5/2019,malam,131
1/6/2019,siang,130
1/6/2019,malam,150
1/7/2019,siang,55
1/7/2019,malam,136
1/8/2019,siang,150
1/8/2019,malam,115
1/9/2019,siang,130
1/9/2019,malam,115
1/10/2019,siang,127
1/10/2019,malam,115
1/11/2019,siang,160
1/11/2019,malam,158
1/12/2019,siang,161
1/12/2019,malam,110
1/13/2019,siang,0
1/13/2019,malam,65
1/14/2019,siang,71
1/14/2019,malam,93
1/15/2019,siang,73
1/15/2019,malam,97
1/16/2019,siang,64
1/16/2019,malam,85
1/17/2019,siang,116
1/17/2019,malam,122
1/18/2019,siang,70
1/18/2019,malam,134
1/19/2019,siang,147
1/19/2019,malam,165
1/20/2019,siang,121
1/20/2019,malam,157
1/21/2019,siang,126
1/21/2019,malam,90
1/22/2019,siang,80
1/22/2019,malam,102
1/23/2019,siang,45
1/23/2019,malam,39
1/24/2019,siang,41
1/24/2019,malam,37
1/25/2019,siang,50
1/25/2019,malam,46
1/26/2019,siang,101
1/26/2019,malam,107
1/27/2019,siang,100
1/27/2019,malam,93
1/28/2019,siang,89
1/28/2019,malam,98
1/29/2019,siang,85
1/29/2019,malam,110
1/30/2019,siang,90
1/30/2019,malam,73
1/31/2019,siang,101
1/31/2019,malam,NaN
2/1/2019,siang,120
2/1/2019,malam,160
2/2/2019,siang,140
2/2/2019,malam,100
2/3/2019,siang,120
2/3/2019,malam,160
2/4/2019,siang,143
2/4/2019,malam,32
2/5/2019,siang,175
2/5/2019,malam,140
2/6/2019,siang,155
2/6/2019,malam,116
2/7/2019,siang,86
2/7/2019,malam,117
2/8/2019,siang,55
2/8/2019,malam,145
2/9/2019,siang,148
2/9/2019,malam,135
2/10/2019,siang,32
2/10/2019,malam,130
2/11/2019,siang,64
2/11/2019,malam,136
2/12/2019,siang,60
2/12/2019,malam,39
2/13/2019,siang,128
2/13/2019,malam,139
2/14/2019,siang,154
2/14/2019,malam,143
2/15/2019,siang,161
2/15/2019,malam,121
2/16/2019,siang,68
2/16/2019,malam,40
2/17/2019,siang,51
2/17/2019,malam,0
2/18/2019,siang,68
2/18/2019,malam,160
2/19/2019,siang,128
2/19/2019,malam,150
2/20/2019,siang,151
2/20/2019,malam,40
2/21/2019,siang,60
2/21/2019,malam,39
2/22/2019,siang,70
2/22/2019,malam,39
2/23/2019,siang,116
2/23/2019,malam,115
2/24/2019,siang,45
2/24/2019,malam,40
2/25/2019,siang,60
2/25/2019,malam,105
2/26/2019,siang,91
2/26/2019,malam,130
2/27/2019,siang,60
2/27/2019,malam,45
2/28/2019,siang,150
2/28/2019,malam,NaN
3/1/2019,siang,167
3/1/2019,malam,39
3/2/2019,siang,145
3/2/2019,malam,39
3/3/2019,siang,45
3/3/2019,malam,32
3/4/2019,siang,60
3/4/2019,malam,39
3/5/2019,siang,60
3/5/2019,malam,32
3/6/2019,siang,51
3/6/2019,malam,39
3/7/2019,siang,59
3/7/2019,malam,39
3/8/2019,siang,51
3/8/2019,malam,32
3/9/2019,siang,51
3/9/2019,malam,39
