Tanggal,Waktu,Beban
1/1/2019,siang,25
1/1/2019,malam,28
1/2/2019,siang,105
1/2/2019,malam,39
1/3/2019,siang,100
1/3/2019,malam,37
1/4/2019,siang,103
1/4/2019,malam,60
1/5/2019,siang,70
1/5/2019,malam,40
1/6/2019,siang,26
1/6/2019,malam,31
1/7/2019,siang,114
1/7/2019,malam,35
1/8/2019,siang,111
1/8/2019,malam,50
1/9/2019,siang,115
1/9/2019,malam,42
1/10/2019,siang,112
1/10/2019,malam,50
1/11/2019,siang,119
1/11/2019,malam,54
1/12/2019,siang,70
1/12/2019,malam,35
1/13/2019,siang,25
1/13/2019,malam,28
1/14/2019,siang,118
1/14/2019,malam,39
1/15/2019,siang,120
1/15/2019,malam,50
1/16/2019,siang,119
1/16/2019,malam,45
1/17/2019,siang,120
1/17/2019,malam,38
1/18/2019,siang,118
1/18/2019,malam,47
1/19/2019,siang,58
1/19/2019,malam,40
1/20/2019,siang,30
1/20/2019,malam,36
1/21/2019,siang,122
1/21/2019,malam,51
1/22/2019,siang,121
1/22/2019,malam,121
1/23/2019,siang,124
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,61
1/26/2019,siang,60
1/26/2019,malam,44
1/27/2019,siang,31
1/27/2019,malam,33
1/28/2019,siang,111
1/28/2019,malam,45
1/29/2019,siang,125
1/29/2019,malam,51
1/30/2019,siang,121
1/30/2019,malam,49
1/31/2019,siang,132
1/31/2019,malam,NaN
2/1/2019,siang,118
2/1/2019,malam,45
2/2/2019,siang,65
2/2/2019,malam,38
2/3/2019,siang,34
2/3/2019,malam,45
2/4/2019,siang,110
2/4/2019,malam,42
2/5/2019,siang,31
2/5/2019,malam,35
2/6/2019,siang,117
2/6/2019,malam,42
2/7/2019,siang,123
2/7/2019,malam,42
2/8/2019,siang,121
2/8/2019,malam,45
2/9/2019,siang,60
2/9/2019,malam,40
2/10/2019,siang,32
2/10/2019,malam,30
2/11/2019,siang,129
2/11/2019,malam,38
2/12/2019,siang,121
2/12/2019,malam,51
2/13/2019,siang,120
2/13/2019,malam,45
2/14/2019,siang,117
2/14/2019,malam,41
2/15/2019,siang,124
2/15/2019,malam,43
2/16/2019,siang,55
2/16/2019,malam,40
2/17/2019,siang,25
2/17/2019,malam,32
2/18/2019,siang,117
2/18/2019,malam,51
2/19/2019,siang,128
2/19/2019,malam,46
2/20/2019,siang,129
2/20/2019,malam,61
2/21/2019,siang,125
2/21/2019,malam,53
2/22/2019,siang,130
2/22/2019,malam,42
2/23/2019,siang,61
2/23/2019,malam,40
2/24/2019,siang,31
2/24/2019,malam,35
2/25/2019,siang,130
2/25/2019,malam,75
2/26/2019,siang,123
2/26/2019,malam,40
2/27/2019,siang,125
2/27/2019,malam,41
2/28/2019,siang,127
2/28/2019,malam,NaN
3/1/2019,siang,126
3/1/2019,malam,57
3/2/2019,siang,68
3/2/2019,malam,39
3/3/2019,siang,37
3/3/2019,malam,31
3/4/2019,siang,122
3/4/2019,malam,41
3/5/2019,siang,125
3/5/2019,malam,42
3/6/2019,siang,120
3/6/2019,malam,45
3/7/2019,siang,34
3/7/2019,malam,37
3/8/2019,siang,131
3/8/2019,malam,55
3/9/2019,siang,65
3/9/2019,malam,40
3/10/2019,siang,29
3/10/2019,malam,33
3/11/2019,siang,125
3/11/2019,malam,58
3/12/2019,siang,122
3/12/2019,malam,45
3/13/2019,siang,121
3/13/2019,malam,52
3/14/2019,siang,130
3/14/2019,malam,42
3/15/2019,siang,116
3/15/2019,malam,41
3/16/2019,siang,59
3/16/2019,malam,35
3/17/2019,siang,28
3/17/2019,malam,35
3/18/2019,siang,115
3/18/2019,malam,36
3/19/2019,siang,126
3/19/2019,malam,37
3/20/2019,siang,118
3/20/2019,malam,39
3/21/2019,siang,118
3/21/2019,malam,62
3/22/2019,siang,115
3/22/2019,malam,48
3/23/2019,siang,51
3/23/2019,malam,26
3/24/2019,siang,26
3/24/2019,malam,29
3/25/2019,siang,114
3/25/2019,malam,41
3/26/2019,siang,111
3/26/2019,malam,50
3/27/2019,siang,113
3/27/2019,malam,45
3/28/2019,siang,116
3/28/2019,malam,43
3/29/2019,siang,111
3/29/2019,malam,47
3/30/2019,siang,50
3/30/2019,malam,36
3/31/2019,siang,28
3/31/2019,malam,33
4/1/2019,siang,112
4/1/2019,malam,NaN
4/2/2019,siang,120
4/2/2019,malam,50
4/3/2019,siang,0
4/3/2019,malam,37
4/4/2019,siang,120
4/4/2019,malam,40
4/5/2019,siang,116
4/5/2019,malam,52
4/6/2019,siang,52
4/6/2019,malam,40
4/7/2019,siang,30
4/7/2019,malam,33
4/8/2019,siang,123
4/8/2019,malam,50
4/9/2019,siang,127
4/9/2019,malam,0
4/10/2019,siang,0
4/10/2019,malam,50
4/11/2019,siang,125
4/11/2019,malam,41
4/12/2019,siang,125
4/12/2019,malam,38
4/13/2019,siang,47
4/13/2019,malam,40
4/14/2019,siang,0
4/14/2019,malam,36
4/15/2019,siang,125
4/15/2019,malam,44
4/16/2019,siang,116
4/16/2019,malam,49
4/17/2019,siang,27
4/17/2019,malam,36
4/18/2019,siang,118
4/18/2019,malam,45
4/19/2019,siang,36
4/19/2019,malam,39
4/20/2019,siang,39
4/20/2019,malam,35
4/21/2019,siang,23
4/21/2019,malam,30
4/22/2019,siang,119
4/22/2019,malam,61
4/23/2019,siang,118
4/23/2019,malam,41
4/24/2019,siang,125
4/24/2019,malam,70
4/25/2019,siang,NaN
4/25/2019,malam,44
4/26/2019,siang,118
4/26/2019,malam,40
4/27/2019,siang,55
4/27/2019,malam,36
4/28/2019,siang,NaN
4/28/2019,malam,NaN
4/29/2019,siang,NaN
4/29/2019,malam,NaN
4/30/2019,siang,NaN
4/30/2019,malam,NaN
5/1/2019,siang,35
5/1/2019,malam,31
5/2/2019,siang,113
5/2/2019,malam,36
5/3/2019,siang,119
5/3/2019,malam,39
5/4/2019,siang,48
5/4/2019,malam,34
5/5/2019,siang,30
5/5/2019,malam,30
5/6/2019,siang,117
5/6/2019,malam,51
5/7/2019,siang,120
5/7/2019,malam,52
5/8/2019,siang,112
5/8/2019,malam,48
5/9/2019,siang,115
5/9/2019,malam,44
5/10/2019,siang,117
5/10/2019,malam,56
5/11/2019,siang,53
5/11/2019,malam,36
5/12/2019,siang,30
5/12/2019,malam,31
5/13/2019,siang,114
5/13/2019,malam,51
5/14/2019,siang,105
5/14/2019,malam,46
5/15/2019,siang,109
5/15/2019,malam,46
5/16/2019,siang,110
5/16/2019,malam,60
5/17/2019,siang,110
5/17/2019,malam,46
5/18/2019,siang,60
5/18/2019,malam,32
5/19/2019,siang,38
5/19/2019,malam,31
5/20/2019,siang,110
5/20/2019,malam,40
5/21/2019,siang,114
5/21/2019,malam,51
5/22/2019,siang,145
5/22/2019,malam,46
5/23/2019,siang,111
5/23/2019,malam,52
5/24/2019,siang,122
5/24/2019,malam,40
5/25/2019,siang,60
5/25/2019,malam,36
5/26/2019,siang,40
5/26/2019,malam,33
5/27/2019,siang,110
5/27/2019,malam,49
5/28/2019,siang,93
5/28/2019,malam,44
5/29/2019,siang,108
5/29/2019,malam,42
5/30/2019,siang,98
5/30/2019,malam,43
5/31/2019,siang,25
5/31/2019,malam,25
6/1/2019,siang,21
6/1/2019,malam,24
6/2/2019,siang,20
6/2/2019,malam,20
6/3/2019,siang,16
6/3/2019,malam,23
6/4/2019,siang,16
6/4/2019,malam,22
6/5/2019,siang,15
6/5/2019,malam,21
