Tanggal,Waktu,Beban
1/1/2019,siang,0
1/1/2019,malam,0
1/2/2019,siang,126
1/2/2019,malam,0
1/3/2019,siang,185
1/3/2019,malam,0
1/4/2019,siang,120
1/4/2019,malam,0
1/5/2019,siang,150
1/5/2019,malam,0
1/6/2019,siang,157
1/6/2019,malam,0
1/7/2019,siang,135
1/7/2019,malam,0
1/8/2019,siang,0
1/8/2019,malam,0
1/9/2019,siang,85
1/9/2019,malam,0
1/10/2019,siang,68
1/10/2019,malam,0
1/11/2019,siang,85
1/11/2019,malam,0
1/12/2019,siang,0
1/12/2019,malam,0
1/13/2019,siang,0
1/13/2019,malam,0
1/14/2019,siang,147
1/14/2019,malam,0
1/15/2019,siang,150
1/15/2019,malam,0
1/16/2019,siang,122
1/16/2019,malam,0
1/17/2019,siang,111
1/17/2019,malam,0
1/18/2019,siang,51
1/18/2019,malam,0
1/19/2019,siang,175
1/19/2019,malam,0
1/20/2019,siang,186
1/20/2019,malam,0
1/21/2019,siang,82
1/21/2019,malam,0
1/22/2019,siang,115
1/22/2019,malam,0
1/23/2019,siang,75
1/23/2019,malam,0
1/24/2019,siang,165
1/24/2019,malam,0
1/25/2019,siang,52
1/25/2019,malam,0
1/26/2019,siang,170
1/26/2019,malam,0
1/27/2019,siang,0
1/27/2019,malam,0
1/28/2019,siang,152
1/28/2019,malam,0
1/29/2019,siang,132
1/29/2019,malam,0
1/30/2019,siang,165
1/30/2019,malam,0
1/31/2019,siang,134
1/31/2019,malam,NaN
2/1/2019,siang,150
2/1/2019,malam,0
2/2/2019,siang,160
2/2/2019,malam,0
2/3/2019,siang,158
2/3/2019,malam,0
2/4/2019,siang,45
2/4/2019,malam,0
2/5/2019,siang,0
2/5/2019,malam,0
2/6/2019,siang,0
2/6/2019,malam,0
2/7/2019,siang,166
2/7/2019,malam,0
2/8/2019,siang,144
2/8/2019,malam,0
2/9/2019,siang,115
2/9/2019,malam,0
2/10/2019,siang,0
2/10/2019,malam,0
2/11/2019,siang,101
2/11/2019,malam,0
2/12/2019,siang,174
