Tanggal,Waktu,Beban
1/1/2019,siang,126
1/1/2019,malam,185
1/2/2019,siang,101
1/2/2019,malam,153
1/3/2019,siang,100
1/3/2019,malam,0
1/4/2019,siang,120
1/4/2019,malam,181
1/5/2019,siang,99
1/5/2019,malam,189
1/6/2019,siang,109
1/6/2019,malam,181
1/7/2019,siang,0
1/7/2019,malam,172
1/8/2019,siang,100
1/8/2019,malam,177
1/9/2019,siang,0
1/9/2019,malam,0
1/10/2019,siang,0
1/10/2019,malam,175
1/11/2019,siang,NaN
1/11/2019,malam,184
1/12/2019,siang,136
1/12/2019,malam,180
1/13/2019,siang,136
1/13/2019,malam,181
1/14/2019,siang,104
1/14/2019,malam,172
1/15/2019,siang,101
1/15/2019,malam,180
1/16/2019,siang,101
1/16/2019,malam,176
1/17/2019,siang,101
1/17/2019,malam,171
1/18/2019,siang,96
1/18/2019,malam,155
1/19/2019,siang,106
1/19/2019,malam,192
1/20/2019,siang,113
1/20/2019,malam,181
1/21/2019,siang,99
1/21/2019,malam,177
1/22/2019,siang,0
1/22/2019,malam,105
1/23/2019,siang,55
1/23/2019,malam,111
1/24/2019,siang,64
1/24/2019,malam,0
1/25/2019,siang,104
1/25/2019,malam,180
1/26/2019,siang,101
1/26/2019,malam,191
1/27/2019,siang,113
1/27/2019,malam,175
1/28/2019,siang,93
1/28/2019,malam,178
1/29/2019,siang,99
1/29/2019,malam,174
1/30/2019,siang,174
1/30/2019,malam,175
1/31/2019,siang,99
1/31/2019,malam,NaN
2/1/2019,siang,99
2/1/2019,malam,180
2/2/2019,siang,105
2/2/2019,malam,191
2/3/2019,siang,111
2/3/2019,malam,180
2/4/2019,siang,101
2/4/2019,malam,189
2/5/2019,siang,109
2/5/2019,malam,174
2/6/2019,siang,96
2/6/2019,malam,177
2/7/2019,siang,101
2/7/2019,malam,171
2/8/2019,siang,101
2/8/2019,malam,180
2/9/2019,siang,101
2/9/2019,malam,188
2/10/2019,siang,113
2/10/2019,malam,171
2/11/2019,siang,101
2/11/2019,malam,180
2/12/2019,siang,99
2/12/2019,malam,177
2/13/2019,siang,99
2/13/2019,malam,180
2/14/2019,siang,101
2/14/2019,malam,181
2/15/2019,siang,101
2/15/2019,malam,184
2/16/2019,siang,106
2/16/2019,malam,191
2/17/2019,siang,113
2/17/2019,malam,177
2/18/2019,siang,99
2/18/2019,malam,221
2/19/2019,siang,134
2/19/2019,malam,230
2/20/2019,siang,135
2/20/2019,malam,224
2/21/2019,siang,134
2/21/2019,malam,225
2/22/2019,siang,135
2/22/2019,malam,177
2/23/2019,siang,141
2/23/2019,malam,185
2/24/2019,siang,113
2/24/2019,malam,163
2/25/2019,siang,96
2/25/2019,malam,181
2/26/2019,siang,101
2/26/2019,malam,180
2/27/2019,siang,104
2/27/2019,malam,180
2/28/2019,siang,101
2/28/2019,malam,NaN
3/1/2019,siang,104
3/1/2019,malam,182
3/2/2019,siang,106
3/2/2019,malam,187
3/3/2019,siang,113
3/3/2019,malam,180
3/4/2019,siang,101
3/4/2019,malam,180
3/5/2019,siang,0
3/5/2019,malam,118
3/6/2019,siang,99
3/6/2019,malam,171
3/7/2019,siang,113
3/7/2019,malam,180
3/8/2019,siang,96
3/8/2019,malam,181
3/9/2019,siang,104
3/9/2019,malam,189
3/10/2019,siang,109
3/10/2019,malam,177
3/11/2019,siang,94
3/11/2019,malam,182
3/12/2019,siang,104
3/12/2019,malam,181
3/13/2019,siang,104
3/13/2019,malam,172
3/14/2019,siang,101
3/14/2019,malam,177
3/15/2019,siang,101
3/15/2019,malam,178
3/16/2019,siang,0
3/16/2019,malam,192
3/17/2019,siang,111
3/17/2019,malam,186
3/18/2019,siang,99
3/18/2019,malam,169
3/19/2019,siang,101
3/19/2019,malam,166
3/20/2019,siang,0
3/20/2019,malam,0
3/21/2019,siang,101
3/21/2019,malam,181
3/22/2019,siang,105
3/22/2019,malam,181
3/23/2019,siang,106
3/23/2019,malam,180
3/24/2019,siang,111
3/24/2019,malam,177
3/25/2019,siang,101
3/25/2019,malam,171
3/26/2019,siang,101
3/26/2019,malam,211
3/27/2019,siang,122
3/27/2019,malam,216
3/28/2019,siang,120
3/28/2019,malam,216
3/29/2019,siang,120
3/29/2019,malam,218
3/30/2019,siang,126
3/30/2019,malam,219
3/31/2019,siang,145
3/31/2019,malam,216
4/1/2019,siang,122
4/1/2019,malam,211
4/2/2019,siang,115
4/2/2019,malam,213
4/3/2019,siang,130
4/3/2019,malam,210
4/4/2019,siang,122
4/4/2019,malam,215
4/5/2019,siang,125
4/5/2019,malam,217
4/6/2019,siang,130
4/6/2019,malam,223
4/7/2019,siang,132
4/7/2019,malam,181
4/8/2019,siang,126
4/8/2019,malam,211
4/9/2019,siang,124
4/9/2019,malam,222
4/10/2019,siang,126
4/10/2019,malam,216
4/11/2019,siang,126
4/11/2019,malam,217
4/12/2019,siang,126
4/12/2019,malam,223
4/13/2019,siang,132
4/13/2019,malam,225
4/14/2019,siang,132
4/14/2019,malam,215
4/15/2019,siang,120
4/15/2019,malam,213
4/16/2019,siang,126
4/16/2019,malam,216
4/17/2019,siang,122
4/17/2019,malam,218
4/18/2019,siang,130
4/18/2019,malam,227
4/19/2019,siang,138
4/19/2019,malam,227
4/20/2019,siang,136
4/20/2019,malam,233
4/21/2019,siang,139
4/21/2019,malam,213
4/22/2019,siang,130
4/22/2019,malam,221
4/23/2019,siang,136
4/23/2019,malam,222
4/24/2019,siang,136
4/24/2019,malam,221
4/25/2019,siang,120
4/25/2019,malam,221
4/26/2019,siang,130
4/26/2019,malam,224
4/27/2019,siang,134
4/27/2019,malam,235
4/28/2019,siang,NaN
4/28/2019,malam,NaN
4/29/2019,siang,NaN
4/29/2019,malam,NaN
4/30/2019,siang,NaN
4/30/2019,malam,NaN
5/1/2019,siang,135
5/1/2019,malam,222
5/2/2019,siang,111
5/2/2019,malam,223
5/3/2019,siang,128
5/3/2019,malam,227
5/4/2019,siang,132
5/4/2019,malam,212
5/5/2019,siang,132
5/5/2019,malam,219
5/6/2019,siang,168
5/6/2019,malam,230
5/7/2019,siang,115
5/7/2019,malam,225
5/8/2019,siang,113
5/8/2019,malam,230
5/9/2019,siang,111
5/9/2019,malam,23
5/10/2019,siang,111
5/10/2019,malam,221
5/11/2019,siang,120
5/11/2019,malam,224
5/12/2019,siang,115
5/12/2019,malam,229
5/13/2019,siang,101
5/13/2019,malam,211
5/14/2019,siang,115
5/14/2019,malam,219
5/15/2019,siang,60
5/15/2019,malam,188
5/16/2019,siang,93
5/16/2019,malam,191
5/17/2019,siang,88
5/17/2019,malam,187
5/18/2019,siang,93
5/18/2019,malam,187
5/19/2019,siang,96
5/19/2019,malam,191
5/20/2019,siang,91
5/20/2019,malam,185
5/21/2019,siang,93
5/21/2019,malam,187
5/22/2019,siang,91
5/22/2019,malam,189
5/23/2019,siang,96
5/23/2019,malam,196
5/24/2019,siang,96
5/24/2019,malam,193
5/25/2019,siang,96
5/25/2019,malam,195
5/26/2019,siang,101
5/26/2019,malam,185
5/27/2019,siang,93
5/27/2019,malam,191
5/28/2019,siang,0
5/28/2019,malam,157
5/29/2019,siang,99
5/29/2019,malam,191
5/30/2019,siang,101
5/30/2019,malam,192
5/31/2019,siang,101
5/31/2019,malam,195
6/1/2019,siang,104
6/1/2019,malam,193
6/2/2019,siang,96
6/2/2019,malam,196
6/3/2019,siang,104
6/3/2019,malam,193
6/4/2019,siang,101
6/4/2019,malam,202
6/5/2019,siang,96
6/5/2019,malam,185
6/6/2019,siang,113
6/6/2019,malam,191
6/7/2019,siang,118
6/7/2019,malam,189
6/8/2019,siang,113
6/8/2019,malam,191
6/9/2019,siang,113
6/9/2019,malam,182
6/10/2019,siang,111
6/10/2019,malam,181
6/11/2019,siang,106
6/11/2019,malam,189
6/12/2019,siang,109
6/12/2019,malam,182
6/13/2019,siang,106
6/13/2019,malam,180
6/14/2019,siang,111
6/14/2019,malam,184
6/15/2019,siang,111
6/15/2019,malam,189
6/16/2019,siang,113
6/16/2019,malam,182
6/17/2019,siang,104
6/17/2019,malam,184
6/18/2019,siang,106
6/18/2019,malam,181
6/19/2019,siang,104
6/19/2019,malam,182
6/20/2019,siang,85
6/20/2019,malam,184
6/21/2019,siang,108
6/21/2019,malam,176
6/22/2019,siang,111
6/22/2019,malam,188
6/23/2019,siang,115
6/23/2019,malam,184
6/24/2019,siang,105
6/24/2019,malam,184
6/25/2019,siang,104
6/25/2019,malam,181
6/26/2019,siang,111
6/26/2019,malam,182
6/27/2019,siang,51
6/27/2019,malam,96
6/28/2019,siang,96
6/28/2019,malam,158
6/29/2019,siang,96
6/29/2019,malam,96
6/30/2019,siang,96
6/30/2019,malam,150
7/1/2019,siang,91
7/1/2019,malam,152
7/2/2019,siang,93
7/2/2019,malam,152
7/3/2019,siang,96
7/3/2019,malam,158
7/4/2019,siang,96
7/4/2019,malam,111
7/5/2019,siang,93
7/5/2019,malam,160
7/6/2019,siang,96
7/6/2019,malam,166
7/7/2019,siang,101
7/7/2019,malam,157
7/8/2019,siang,96
7/8/2019,malam,153
7/9/2019,siang,93
7/9/2019,malam,152
7/10/2019,siang,91
7/10/2019,malam,155
7/11/2019,siang,124
7/11/2019,malam,150
7/12/2019,siang,91
7/12/2019,malam,162
7/13/2019,siang,115
7/13/2019,malam,202
7/14/2019,siang,115
7/14/2019,malam,189
7/15/2019,siang,106
7/15/2019,malam,182
7/16/2019,siang,105
7/16/2019,malam,177
7/17/2019,siang,106
7/17/2019,malam,191
7/18/2019,siang,106
7/18/2019,malam,191
7/19/2019,siang,88
7/19/2019,malam,158
7/20/2019,siang,99
7/20/2019,malam,171
7/21/2019,siang,104
7/21/2019,malam,158
7/22/2019,siang,88
7/22/2019,malam,157
7/23/2019,siang,45
7/23/2019,malam,158
7/24/2019,siang,88
7/24/2019,malam,150
7/25/2019,siang,88
7/25/2019,malam,158
7/26/2019,siang,91
7/26/2019,malam,162
7/27/2019,siang,143
7/27/2019,malam,163
7/28/2019,siang,0
7/28/2019,malam,0
7/29/2019,siang,88
7/29/2019,malam,156
7/30/2019,siang,91
7/30/2019,malam,162
7/31/2019,siang,143
7/31/2019,malam,163
8/1/2019,siang,88
8/1/2019,malam,155
8/2/2019,siang,91
8/2/2019,malam,160
8/3/2019,siang,96
8/3/2019,malam,165
8/4/2019,siang,99
8/4/2019,malam,150
8/5/2019,siang,88
8/5/2019,malam,150
8/6/2019,siang,88
8/6/2019,malam,75
8/7/2019,siang,93
8/7/2019,malam,157
8/8/2019,siang,88
8/8/2019,malam,155
8/9/2019,siang,91
8/9/2019,malam,157
8/10/2019,siang,91
8/10/2019,malam,141
8/11/2019,siang,93
8/11/2019,malam,160
8/12/2019,siang,91
8/12/2019,malam,157
8/13/2019,siang,91
8/13/2019,malam,153
8/14/2019,siang,91
8/14/2019,malam,157
8/15/2019,siang,91
8/15/2019,malam,153
8/16/2019,siang,88
8/16/2019,malam,257
8/17/2019,siang,96
8/17/2019,malam,171
8/18/2019,siang,96
8/18/2019,malam,153
8/19/2019,siang,91
8/19/2019,malam,153
8/20/2019,siang,85
8/20/2019,malam,150
8/21/2019,siang,88
8/21/2019,malam,153
8/22/2019,siang,93
8/22/2019,malam,152
8/23/2019,siang,91
8/23/2019,malam,155
8/24/2019,siang,91
8/24/2019,malam,162
8/25/2019,siang,96
8/25/2019,malam,147
8/26/2019,siang,88
8/26/2019,malam,153
8/27/2019,siang,91
8/27/2019,malam,157
8/28/2019,siang,88
8/28/2019,malam,153
8/29/2019,siang,88
8/29/2019,malam,147
8/30/2019,siang,88
8/30/2019,malam,162
8/31/2019,siang,88
8/31/2019,malam,147
9/1/2019,siang,99
9/1/2019,malam,157
9/2/2019,siang,91
9/2/2019,malam,155
9/3/2019,siang,88
9/3/2019,malam,155
9/4/2019,siang,0
9/4/2019,malam,155
9/5/2019,siang,91
9/5/2019,malam,160
9/6/2019,siang,91
9/6/2019,malam,158
9/7/2019,siang,96
9/7/2019,malam,165
9/8/2019,siang,96
9/8/2019,malam,158
9/9/2019,siang,91
9/9/2019,malam,155
9/10/2019,siang,91
9/10/2019,malam,157
9/11/2019,siang,91
9/11/2019,malam,157
9/12/2019,siang,91
9/12/2019,malam,153
9/13/2019,siang,91
9/13/2019,malam,158
9/14/2019,siang,96
9/14/2019,malam,162
9/15/2019,siang,96
9/15/2019,malam,157
9/16/2019,siang,91
9/16/2019,malam,155
9/17/2019,siang,93
9/17/2019,malam,155
9/18/2019,siang,91
9/18/2019,malam,157
9/19/2019,siang,0
9/19/2019,malam,200
9/20/2019,siang,118
9/20/2019,malam,181
9/21/2019,siang,118
9/21/2019,malam,207
9/22/2019,siang,122
9/22/2019,malam,189
9/23/2019,siang,118
9/23/2019,malam,193
9/24/2019,siang,118
9/24/2019,malam,195
9/25/2019,siang,200
9/25/2019,malam,195
9/26/2019,siang,115
9/26/2019,malam,199
9/27/2019,siang,122
9/27/2019,malam,201
9/28/2019,siang,120
9/28/2019,malam,206
9/29/2019,siang,124
9/29/2019,malam,120
9/30/2019,siang,91
9/30/2019,malam,155
10/1/2019,siang,96
10/1/2019,malam,153
10/2/2019,siang,93
10/2/2019,malam,157
10/3/2019,siang,96
10/3/2019,malam,150
10/4/2019,siang,96
10/4/2019,malam,158
10/5/2019,siang,99
10/5/2019,malam,171
10/6/2019,siang,0
10/6/2019,malam,192
10/7/2019,siang,113
10/7/2019,malam,191
10/8/2019,siang,115
10/8/2019,malam,191
10/9/2019,siang,128
10/9/2019,malam,196
10/10/2019,siang,118
10/10/2019,malam,188
10/11/2019,siang,120
10/11/2019,malam,201
10/12/2019,siang,124
10/12/2019,malam,201
10/13/2019,siang,128
10/13/2019,malam,196
10/14/2019,siang,120
10/14/2019,malam,185
10/15/2019,siang,115
10/15/2019,malam,197
10/16/2019,siang,115
10/16/2019,malam,192
10/17/2019,siang,172
10/17/2019,malam,160
10/18/2019,siang,NaN
10/18/2019,malam,NaN
10/19/2019,siang,NaN
10/19/2019,malam,201
10/20/2019,siang,NaN
10/20/2019,malam,NaN
10/21/2019,siang,120
10/21/2019,malam,185
10/22/2019,siang,115
10/22/2019,malam,191
10/23/2019,siang,109
10/23/2019,malam,188
10/24/2019,siang,113
10/24/2019,malam,180
10/25/2019,siang,113
10/25/2019,malam,189
10/26/2019,siang,120
10/26/2019,malam,202
10/27/2019,siang,124
10/27/2019,malam,191
10/28/2019,siang,111
10/28/2019,malam,189
10/29/2019,siang,115
10/29/2019,malam,187
10/30/2019,siang,113
10/30/2019,malam,193
10/31/2019,siang,111
10/31/2019,malam,192
11/1/2019,siang,118
11/1/2019,malam,191
11/2/2019,siang,115
11/2/2019,malam,200
11/3/2019,siang,122
11/3/2019,malam,198
11/4/2019,siang,111
11/4/2019,malam,187
11/5/2019,siang,106
11/5/2019,malam,182
11/6/2019,siang,111
11/6/2019,malam,188
11/7/2019,siang,111
11/7/2019,malam,192
11/8/2019,siang,113
11/8/2019,malam,202
11/9/2019,siang,126
11/9/2019,malam,212
11/10/2019,siang,130
11/10/2019,malam,192
11/11/2019,siang,113
11/11/2019,malam,188
11/12/2019,siang,115
11/12/2019,malam,195
11/13/2019,siang,195
11/13/2019,malam,195
11/14/2019,siang,195
11/14/2019,malam,192
11/15/2019,siang,118
11/15/2019,malam,199
11/16/2019,siang,120
11/16/2019,malam,202
11/17/2019,siang,128
11/17/2019,malam,192
11/18/2019,siang,115
11/18/2019,malam,189
11/19/2019,siang,113
11/19/2019,malam,199
11/20/2019,siang,118
11/20/2019,malam,187
11/21/2019,siang,111
11/21/2019,malam,193
11/22/2019,siang,115
11/22/2019,malam,205
11/23/2019,siang,120
11/23/2019,malam,201
11/24/2019,siang,126
11/24/2019,malam,181
11/25/2019,siang,113
11/25/2019,malam,188
11/26/2019,siang,111
11/26/2019,malam,193
11/27/2019,siang,110
11/27/2019,malam,191
11/28/2019,siang,111
11/28/2019,malam,189
11/29/2019,siang,115
11/29/2019,malam,193
11/30/2019,siang,118
11/30/2019,malam,205
12/1/2019,siang,128
12/1/2019,malam,187
12/2/2019,siang,111
12/2/2019,malam,187
12/3/2019,siang,113
12/3/2019,malam,199
12/4/2019,siang,122
12/4/2019,malam,195
12/5/2019,siang,115
12/5/2019,malam,185
12/6/2019,siang,118
12/6/2019,malam,200
12/7/2019,siang,124
12/7/2019,malam,207
12/8/2019,siang,0
12/8/2019,malam,199
12/9/2019,siang,118
12/9/2019,malam,200
12/10/2019,siang,118
12/10/2019,malam,201
12/11/2019,siang,120
12/11/2019,malam,192
12/12/2019,siang,115
12/12/2019,malam,191
12/13/2019,siang,111
12/13/2019,malam,200
12/14/2019,siang,124
12/14/2019,malam,204
12/15/2019,siang,126
12/15/2019,malam,191
12/16/2019,siang,111
12/16/2019,malam,185
12/17/2019,siang,111
12/17/2019,malam,188
12/18/2019,siang,93
12/18/2019,malam,200
12/19/2019,siang,122
12/19/2019,malam,188
12/20/2019,siang,120
12/20/2019,malam,200
12/21/2019,siang,124
12/21/2019,malam,213
12/22/2019,siang,134
12/22/2019,malam,195
12/23/2019,siang,126
12/23/2019,malam,200
12/24/2019,siang,124
12/24/2019,malam,204
12/25/2019,siang,126
12/25/2019,malam,187
12/26/2019,siang,126
12/26/2019,malam,192
12/27/2019,siang,120
12/27/2019,malam,198
12/28/2019,siang,0
12/28/2019,malam,205
12/29/2019,siang,126
12/29/2019,malam,196
12/30/2019,siang,130
12/30/2019,malam,205
12/31/2019,siang,132
12/31/2019,malam,217
1/1/2020,siang,141
1/1/2020,malam,200
1/2/2020,siang,115
1/2/2020,malam,188
1/3/2020,siang,120
1/3/2020,malam,196
1/4/2020,siang,113
1/4/2020,malam,202
1/5/2020,siang,122
1/5/2020,malam,187
1/6/2020,siang,111
1/6/2020,malam,182
1/7/2020,siang,111
1/7/2020,malam,188
1/8/2020,siang,109
1/8/2020,malam,181
1/9/2020,siang,106
1/9/2020,malam,185
1/10/2020,siang,109
1/10/2020,malam,185
1/11/2020,siang,118
1/11/2020,malam,201
1/12/2020,siang,120
1/12/2020,malam,189
1/13/2020,siang,111
1/13/2020,malam,192
1/14/2020,siang,110
1/14/2020,malam,193
1/15/2020,siang,111
1/15/2020,malam,189
1/16/2020,siang,111
1/16/2020,malam,185
1/17/2020,siang,111
1/17/2020,malam,191
1/18/2020,siang,120
1/18/2020,malam,201
1/19/2020,siang,124
1/19/2020,malam,189
1/20/2020,siang,111
1/20/2020,malam,189
1/21/2020,siang,111
1/21/2020,malam,191
1/22/2020,siang,0
1/22/2020,malam,163
1/23/2020,siang,111
1/23/2020,malam,188
1/24/2020,siang,55
1/24/2020,malam,192
1/25/2020,siang,122
1/25/2020,malam,210
1/26/2020,siang,130
1/26/2020,malam,187
1/27/2020,siang,111
1/27/2020,malam,191
1/28/2020,siang,111
1/28/2020,malam,185
1/29/2020,siang,115
1/29/2020,malam,191
1/30/2020,siang,111
1/30/2020,malam,188
