Tanggal,Waktu,Beban
1/1/2019,siang,115
1/1/2019,malam,141
1/2/2019,siang,146
1/2/2019,malam,159
1/3/2019,siang,137
1/3/2019,malam,147
1/4/2019,siang,144
1/4/2019,malam,168
1/5/2019,siang,122
1/5/2019,malam,162
1/6/2019,siang,125
1/6/2019,malam,151
1/7/2019,siang,164
1/7/2019,malam,160
1/8/2019,siang,150
1/8/2019,malam,156
1/9/2019,siang,155
1/9/2019,malam,172
1/10/2019,siang,154
1/10/2019,malam,156
1/11/2019,siang,158
1/11/2019,malam,150
1/12/2019,siang,130
1/12/2019,malam,140
1/13/2019,siang,105
1/13/2019,malam,144
1/14/2019,siang,149
1/14/2019,malam,157
1/15/2019,siang,145
1/15/2019,malam,158
1/16/2019,siang,153
1/16/2019,malam,150
1/17/2019,siang,145
1/17/2019,malam,154
1/18/2019,siang,144
1/18/2019,malam,150
1/19/2019,siang,134
1/19/2019,malam,147
1/20/2019,siang,118
1/20/2019,malam,137
1/21/2019,siang,148
1/21/2019,malam,156
1/22/2019,siang,149
1/22/2019,malam,149
1/23/2019,siang,150
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,150
1/26/2019,siang,126
1/26/2019,malam,149
1/27/2019,siang,110
1/27/2019,malam,136
1/28/2019,siang,142
1/28/2019,malam,161
1/29/2019,siang,155
1/29/2019,malam,171
1/30/2019,siang,164
1/30/2019,malam,165
1/31/2019,siang,148
1/31/2019,malam,NaN
2/1/2019,siang,147
2/1/2019,malam,160
2/2/2019,siang,130
2/2/2019,malam,142
2/3/2019,siang,116
2/3/2019,malam,160
2/4/2019,siang,141
2/4/2019,malam,157
2/5/2019,siang,120
2/5/2019,malam,146
2/6/2019,siang,155
2/6/2019,malam,160
2/7/2019,siang,156
2/7/2019,malam,168
2/8/2019,siang,160
2/8/2019,malam,165
2/9/2019,siang,135
2/9/2019,malam,155
2/10/2019,siang,120
2/10/2019,malam,146
2/11/2019,siang,157
2/11/2019,malam,161
2/12/2019,siang,153
2/12/2019,malam,164
2/13/2019,siang,154
2/13/2019,malam,173
2/14/2019,siang,162
2/14/2019,malam,166
2/15/2019,siang,156
2/15/2019,malam,153
2/16/2019,siang,133
2/16/2019,malam,156
2/17/2019,siang,119
2/17/2019,malam,147
2/18/2019,siang,153
2/18/2019,malam,156
2/19/2019,siang,156
2/19/2019,malam,166
2/20/2019,siang,157
2/20/2019,malam,165
2/21/2019,siang,147
2/21/2019,malam,105
2/22/2019,siang,154
2/22/2019,malam,159
2/23/2019,siang,130
2/23/2019,malam,151
2/24/2019,siang,123
2/24/2019,malam,130
2/25/2019,siang,140
2/25/2019,malam,162
2/26/2019,siang,160
2/26/2019,malam,176
2/27/2019,siang,164
2/27/2019,malam,176
2/28/2019,siang,166
2/28/2019,malam,NaN
3/1/2019,siang,169
3/1/2019,malam,157
3/2/2019,siang,135
3/2/2019,malam,157
3/3/2019,siang,127
3/3/2019,malam,150
3/4/2019,siang,150
3/4/2019,malam,170
3/5/2019,siang,162
3/5/2019,malam,162
3/6/2019,siang,145
3/6/2019,malam,150
3/7/2019,siang,115
3/7/2019,malam,135
3/8/2019,siang,140
3/8/2019,malam,145
3/9/2019,siang,145
3/9/2019,malam,150
3/10/2019,siang,119
3/10/2019,malam,151
3/11/2019,siang,160
3/11/2019,malam,164
3/12/2019,siang,157
3/12/2019,malam,171
3/13/2019,siang,154
3/13/2019,malam,160
3/14/2019,siang,155
3/14/2019,malam,162
3/15/2019,siang,146
3/15/2019,malam,151
3/16/2019,siang,131
3/16/2019,malam,154
3/17/2019,siang,120
3/17/2019,malam,150
3/18/2019,siang,130
3/18/2019,malam,158
3/19/2019,siang,151
3/19/2019,malam,146
3/20/2019,siang,151
3/20/2019,malam,161
3/21/2019,siang,153
3/21/2019,malam,160
3/22/2019,siang,145
3/22/2019,malam,168
3/23/2019,siang,130
3/23/2019,malam,137
3/24/2019,siang,114
3/24/2019,malam,135
3/25/2019,siang,142
3/25/2019,malam,157
3/26/2019,siang,160
3/26/2019,malam,156
3/27/2019,siang,156
3/27/2019,malam,164
3/28/2019,siang,155
3/28/2019,malam,156
3/29/2019,siang,150
3/29/2019,malam,169
