Tanggal,Waktu,Beban
1/1/2019,siang,59
1/1/2019,malam,85
1/2/2019,siang,54
1/2/2019,malam,85
1/3/2019,siang,53
1/3/2019,malam,83
1/4/2019,siang,51
1/4/2019,malam,87
1/5/2019,siang,52
1/5/2019,malam,88
1/6/2019,siang,57
1/6/2019,malam,88
1/7/2019,siang,53
1/7/2019,malam,82
1/8/2019,siang,51
1/8/2019,malam,85
1/9/2019,siang,53
1/9/2019,malam,85
1/10/2019,siang,53
1/10/2019,malam,74
1/11/2019,siang,NaN
1/11/2019,malam,78
1/12/2019,siang,52
1/12/2019,malam,81
1/13/2019,siang,57
1/13/2019,malam,78
1/14/2019,siang,53
1/14/2019,malam,80
1/15/2019,siang,51
1/15/2019,malam,0
1/16/2019,siang,50
1/16/2019,malam,78
1/17/2019,siang,51
1/17/2019,malam,81
1/18/2019,siang,51
1/18/2019,malam,77
1/19/2019,siang,52
1/19/2019,malam,82
1/20/2019,siang,54
1/20/2019,malam,81
1/21/2019,siang,51
1/21/2019,malam,84
1/22/2019,siang,51
1/22/2019,malam,81
1/23/2019,siang,52
1/23/2019,malam,78
1/24/2019,siang,49
1/24/2019,malam,75
1/25/2019,siang,54
1/25/2019,malam,54
1/26/2019,siang,51
1/26/2019,malam,84
1/27/2019,siang,55
1/27/2019,malam,82
1/28/2019,siang,49
1/28/2019,malam,85
1/29/2019,siang,51
1/29/2019,malam,83
1/30/2019,siang,54
1/30/2019,malam,84
1/31/2019,siang,52
1/31/2019,malam,NaN
2/1/2019,siang,53
2/1/2019,malam,79
2/2/2019,siang,51
2/2/2019,malam,80
2/3/2019,siang,52
2/3/2019,malam,82
2/4/2019,siang,52
2/4/2019,malam,79
2/5/2019,siang,54
2/5/2019,malam,83
2/6/2019,siang,53
2/6/2019,malam,78
2/7/2019,siang,53
2/7/2019,malam,82
2/8/2019,siang,54
2/8/2019,malam,83
2/9/2019,siang,52
2/9/2019,malam,88
2/10/2019,siang,55
2/10/2019,malam,81
2/11/2019,siang,51
2/11/2019,malam,78
2/12/2019,siang,51
2/12/2019,malam,85
2/13/2019,siang,51
2/13/2019,malam,85
2/14/2019,siang,51
2/14/2019,malam,83
2/15/2019,siang,54
2/15/2019,malam,84
2/16/2019,siang,52
2/16/2019,malam,82
2/17/2019,siang,54
2/17/2019,malam,84
2/18/2019,siang,53
2/18/2019,malam,82
2/19/2019,siang,53
2/19/2019,malam,82
2/20/2019,siang,51
2/20/2019,malam,NaN
2/21/2019,siang,52
2/21/2019,malam,82
2/22/2019,siang,53
2/22/2019,malam,79
2/23/2019,siang,54
2/23/2019,malam,80
2/24/2019,siang,57
2/24/2019,malam,80
2/25/2019,siang,52
2/25/2019,malam,87
2/26/2019,siang,52
2/26/2019,malam,88
2/27/2019,siang,55
2/27/2019,malam,88
2/28/2019,siang,57
2/28/2019,malam,NaN
3/1/2019,siang,57
3/1/2019,malam,80
