Tanggal,Waktu,Beban
1/1/2019,siang,80
1/1/2019,malam,107
1/2/2019,siang,251
1/2/2019,malam,124
1/3/2019,siang,122
1/3/2019,malam,126
1/4/2019,siang,133
1/4/2019,malam,130
1/5/2019,siang,112
1/5/2019,malam,125
1/6/2019,siang,95
1/6/2019,malam,116
1/7/2019,siang,137
1/7/2019,malam,132
1/8/2019,siang,121
1/8/2019,malam,130
1/9/2019,siang,135
1/9/2019,malam,136
1/10/2019,siang,130
1/10/2019,malam,130
1/11/2019,siang,128
1/11/2019,malam,121
1/12/2019,siang,114
1/12/2019,malam,120
1/13/2019,siang,86
1/13/2019,malam,107
1/14/2019,siang,128
1/14/2019,malam,129
1/15/2019,siang,130
1/15/2019,malam,122
1/16/2019,siang,128
1/16/2019,malam,126
1/17/2019,siang,123
1/17/2019,malam,132
1/18/2019,siang,128
1/18/2019,malam,121
1/19/2019,siang,115
1/19/2019,malam,115
1/20/2019,siang,90
1/20/2019,malam,103
1/21/2019,siang,135
1/21/2019,malam,130
1/22/2019,siang,131
1/22/2019,malam,131
1/23/2019,siang,136
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,125
1/26/2019,siang,120
1/26/2019,malam,119
1/27/2019,siang,85
1/27/2019,malam,107
1/28/2019,siang,127
1/28/2019,malam,140
1/29/2019,siang,138
1/29/2019,malam,131
1/30/2019,siang,134
1/30/2019,malam,133
1/31/2019,siang,130
1/31/2019,malam,NaN
2/1/2019,siang,126
2/1/2019,malam,126
2/2/2019,siang,122
2/2/2019,malam,109
2/3/2019,siang,84
2/3/2019,malam,126
2/4/2019,siang,113
2/4/2019,malam,133
2/5/2019,siang,103
2/5/2019,malam,120
2/6/2019,siang,120
2/6/2019,malam,129
2/7/2019,siang,120
2/7/2019,malam,131
2/8/2019,siang,124
2/8/2019,malam,175
2/9/2019,siang,110
2/9/2019,malam,111
2/10/2019,siang,92
2/10/2019,malam,114
2/11/2019,siang,125
2/11/2019,malam,130
2/12/2019,siang,119
2/12/2019,malam,124
2/13/2019,siang,120
2/13/2019,malam,131
2/14/2019,siang,132
2/14/2019,malam,132
2/15/2019,siang,132
2/15/2019,malam,120
2/16/2019,siang,121
2/16/2019,malam,115
2/17/2019,siang,90
2/17/2019,malam,110
2/18/2019,siang,135
2/18/2019,malam,132
2/19/2019,siang,133
2/19/2019,malam,133
2/20/2019,siang,137
2/20/2019,malam,135
2/21/2019,siang,125
2/21/2019,malam,126
2/22/2019,siang,122
2/22/2019,malam,126
2/23/2019,siang,110
2/23/2019,malam,115
2/24/2019,siang,91
2/24/2019,malam,100
2/25/2019,siang,110
2/25/2019,malam,126
2/26/2019,siang,128
2/26/2019,malam,131
2/27/2019,siang,135
2/27/2019,malam,135
2/28/2019,siang,136
2/28/2019,malam,NaN
3/1/2019,siang,134
3/1/2019,malam,122
3/2/2019,siang,111
3/2/2019,malam,122
3/3/2019,siang,84
3/3/2019,malam,104
3/4/2019,siang,128
3/4/2019,malam,140
3/5/2019,siang,128
3/5/2019,malam,129
3/6/2019,siang,128
3/6/2019,malam,121
3/7/2019,siang,100
3/7/2019,malam,108
3/8/2019,siang,119
3/8/2019,malam,126
3/9/2019,siang,98
3/9/2019,malam,129
3/10/2019,siang,87
3/10/2019,malam,112
3/11/2019,siang,125
3/11/2019,malam,134
3/12/2019,siang,127
3/12/2019,malam,135
3/13/2019,siang,133
3/13/2019,malam,127
3/14/2019,siang,135
3/14/2019,malam,134
3/15/2019,siang,131
3/15/2019,malam,116
3/16/2019,siang,114
3/16/2019,malam,116
3/17/2019,siang,87
3/17/2019,malam,110
3/18/2019,siang,105
3/18/2019,malam,130
3/19/2019,siang,125
3/19/2019,malam,118
3/20/2019,siang,128
3/20/2019,malam,135
3/21/2019,siang,133
3/21/2019,malam,130
3/22/2019,siang,115
3/22/2019,malam,140
3/23/2019,siang,115
3/23/2019,malam,115
3/24/2019,siang,80
3/24/2019,malam,102
3/25/2019,siang,132
3/25/2019,malam,126
3/26/2019,siang,132
3/26/2019,malam,128
3/27/2019,siang,125
3/27/2019,malam,134
3/28/2019,siang,128
3/28/2019,malam,126
3/29/2019,siang,129
3/29/2019,malam,145
3/30/2019,siang,115
3/30/2019,malam,120
3/31/2019,siang,88
3/31/2019,malam,113
4/1/2019,siang,129
4/1/2019,malam,NaN
4/2/2019,siang,139
4/2/2019,malam,135
4/3/2019,siang,0
4/3/2019,malam,128
4/4/2019,siang,136
4/4/2019,malam,127
4/5/2019,siang,136
4/5/2019,malam,126
4/6/2019,siang,125
4/6/2019,malam,130
4/7/2019,siang,90
4/7/2019,malam,111
4/8/2019,siang,137
4/8/2019,malam,136
4/9/2019,siang,139
4/9/2019,malam,130
4/10/2019,siang,161
4/10/2019,malam,153
4/11/2019,siang,158
4/11/2019,malam,140
4/12/2019,siang,155
4/12/2019,malam,151
4/13/2019,siang,147
4/13/2019,malam,140
4/14/2019,siang,0
4/14/2019,malam,120
4/15/2019,siang,146
4/15/2019,malam,151
4/16/2019,siang,151
4/16/2019,malam,154
4/17/2019,siang,96
4/17/2019,malam,127
4/18/2019,siang,157
4/18/2019,malam,162
4/19/2019,siang,115
4/19/2019,malam,146
4/20/2019,siang,146
4/20/2019,malam,143
4/21/2019,siang,104
4/21/2019,malam,121
4/22/2019,siang,155
4/22/2019,malam,160
4/23/2019,siang,131
4/23/2019,malam,156
4/24/2019,siang,150
4/24/2019,malam,160
4/25/2019,siang,NaN
4/25/2019,malam,154
4/26/2019,siang,153
4/26/2019,malam,155
4/27/2019,siang,125
4/27/2019,malam,146
4/28/2019,siang,NaN
4/28/2019,malam,NaN
4/29/2019,siang,NaN
4/29/2019,malam,NaN
4/30/2019,siang,NaN
4/30/2019,malam,NaN
5/1/2019,siang,120
5/1/2019,malam,136
5/2/2019,siang,157
5/2/2019,malam,156
5/3/2019,siang,152
5/3/2019,malam,146
5/4/2019,siang,131
5/4/2019,malam,145
5/5/2019,siang,115
5/5/2019,malam,120
5/6/2019,siang,135
5/6/2019,malam,143
5/7/2019,siang,135
5/7/2019,malam,143
5/8/2019,siang,145
5/8/2019,malam,145
5/9/2019,siang,130
5/9/2019,malam,144
5/10/2019,siang,135
5/10/2019,malam,148
5/11/2019,siang,131
5/11/2019,malam,130
5/12/2019,siang,95
5/12/2019,malam,126
5/13/2019,siang,136
5/13/2019,malam,53
5/14/2019,siang,142
5/14/2019,malam,145
5/15/2019,siang,145
5/15/2019,malam,150
5/16/2019,siang,150
5/16/2019,malam,150
5/17/2019,siang,130
5/17/2019,malam,141
5/18/2019,siang,130
5/18/2019,malam,140
5/19/2019,siang,206
5/19/2019,malam,125
5/20/2019,siang,130
5/20/2019,malam,144
5/21/2019,siang,146
5/21/2019,malam,152
5/22/2019,siang,114
5/22/2019,malam,145
5/23/2019,siang,147
5/23/2019,malam,150
5/24/2019,siang,140
5/24/2019,malam,150
5/25/2019,siang,115
5/25/2019,malam,141
5/26/2019,siang,150
5/26/2019,malam,128
5/27/2019,siang,142
5/27/2019,malam,144
5/28/2019,siang,141
5/28/2019,malam,144
5/29/2019,siang,147
5/29/2019,malam,137
5/30/2019,siang,121
5/30/2019,malam,143
5/31/2019,siang,130
5/31/2019,malam,140
6/1/2019,siang,104
6/1/2019,malam,130
6/2/2019,siang,96
6/2/2019,malam,121
6/3/2019,siang,95
6/3/2019,malam,117
6/4/2019,siang,90
6/4/2019,malam,112
6/5/2019,siang,74
6/5/2019,malam,104
6/6/2019,siang,82
6/6/2019,malam,108
6/7/2019,siang,86
6/7/2019,malam,109
6/8/2019,siang,83
6/8/2019,malam,111
6/9/2019,siang,87
6/9/2019,malam,115
6/10/2019,siang,117
6/10/2019,malam,127
6/11/2019,siang,123
6/11/2019,malam,128
6/12/2019,siang,125
6/12/2019,malam,141
6/13/2019,siang,138
6/13/2019,malam,150
6/14/2019,siang,145
6/14/2019,malam,141
6/15/2019,siang,136
6/15/2019,malam,123
6/16/2019,siang,106
6/16/2019,malam,123
6/17/2019,siang,133
6/17/2019,malam,144
6/18/2019,siang,138
6/18/2019,malam,139
6/19/2019,siang,135
6/19/2019,malam,140
6/20/2019,siang,135
6/20/2019,malam,132
6/21/2019,siang,132
6/21/2019,malam,132
6/22/2019,siang,120
6/22/2019,malam,130
6/23/2019,siang,85
6/23/2019,malam,105
6/24/2019,siang,130
6/24/2019,malam,137
6/25/2019,siang,135
6/25/2019,malam,140
6/26/2019,siang,136
6/26/2019,malam,135
6/27/2019,siang,137
6/27/2019,malam,136
6/28/2019,siang,130
6/28/2019,malam,129
6/29/2019,siang,115
6/29/2019,malam,120
6/30/2019,siang,90
6/30/2019,malam,110
7/1/2019,siang,123
7/1/2019,malam,132
7/2/2019,siang,131
7/2/2019,malam,127
7/3/2019,siang,135
7/3/2019,malam,140
7/4/2019,siang,128
7/4/2019,malam,132
7/5/2019,siang,133
7/5/2019,malam,131
7/6/2019,siang,129
7/6/2019,malam,145
7/7/2019,siang,90
7/7/2019,malam,117
7/8/2019,siang,122
7/8/2019,malam,145
7/9/2019,siang,120
7/9/2019,malam,121
7/10/2019,siang,124
7/10/2019,malam,127
7/11/2019,siang,131
7/11/2019,malam,125
7/12/2019,siang,116
7/12/2019,malam,138
7/13/2019,siang,114
7/13/2019,malam,115
7/14/2019,siang,92
7/14/2019,malam,112
7/15/2019,siang,129
7/15/2019,malam,133
7/16/2019,siang,110
7/16/2019,malam,122
7/17/2019,siang,111
7/17/2019,malam,124
7/18/2019,siang,117
7/18/2019,malam,129
7/19/2019,siang,113
7/19/2019,malam,117
7/20/2019,siang,110
7/20/2019,malam,111
7/21/2019,siang,82
7/21/2019,malam,110
7/22/2019,siang,116
7/22/2019,malam,120
7/23/2019,siang,122
7/23/2019,malam,128
7/24/2019,siang,111
7/24/2019,malam,125
7/25/2019,siang,124
7/25/2019,malam,117
7/26/2019,siang,125
7/26/2019,malam,127
7/27/2019,siang,108
7/27/2019,malam,116
7/28/2019,siang,85
7/28/2019,malam,100
7/29/2019,siang,118
7/29/2019,malam,121
7/30/2019,siang,125
7/30/2019,malam,127
7/31/2019,siang,108
7/31/2019,malam,116
8/1/2019,siang,110
8/1/2019,malam,130
8/2/2019,siang,124
8/2/2019,malam,128
8/3/2019,siang,102
8/3/2019,malam,110
8/4/2019,siang,74
8/4/2019,malam,105
8/5/2019,siang,105
8/5/2019,malam,114
8/6/2019,siang,111
8/6/2019,malam,123
8/7/2019,siang,115
8/7/2019,malam,122
8/8/2019,siang,116
8/8/2019,malam,129
8/9/2019,siang,119
8/9/2019,malam,118
8/10/2019,siang,107
8/10/2019,malam,110
8/11/2019,siang,71
8/11/2019,malam,105
8/12/2019,siang,122
8/12/2019,malam,120
8/13/2019,siang,121
8/13/2019,malam,131
8/14/2019,siang,127
8/14/2019,malam,132
8/15/2019,siang,117
8/15/2019,malam,122
8/16/2019,siang,228
8/16/2019,malam,230
8/17/2019,siang,98
8/17/2019,malam,108
8/18/2019,siang,82
8/18/2019,malam,103
8/19/2019,siang,123
8/19/2019,malam,130
8/20/2019,siang,110
8/20/2019,malam,120
8/21/2019,siang,130
8/21/2019,malam,132
8/22/2019,siang,122
8/22/2019,malam,132
8/23/2019,siang,120
8/23/2019,malam,111
8/24/2019,siang,111
8/24/2019,malam,111
8/25/2019,siang,87
8/25/2019,malam,105
8/26/2019,siang,122
8/26/2019,malam,128
8/27/2019,siang,127
8/27/2019,malam,131
8/28/2019,siang,118
8/28/2019,malam,131
8/29/2019,siang,116
8/29/2019,malam,132
8/30/2019,siang,111
8/30/2019,malam,114
8/31/2019,siang,116
8/31/2019,malam,132
9/1/2019,siang,73
9/1/2019,malam,104
9/2/2019,siang,125
9/2/2019,malam,121
9/3/2019,siang,127
9/3/2019,malam,132
9/4/2019,siang,121
9/4/2019,malam,129
9/5/2019,siang,126
9/5/2019,malam,121
9/6/2019,siang,121
9/6/2019,malam,120
9/7/2019,siang,106
9/7/2019,malam,121
9/8/2019,siang,0
9/8/2019,malam,160
9/9/2019,siang,112
9/9/2019,malam,129
9/10/2019,siang,123
9/10/2019,malam,124
