Tanggal,Waktu,Beban
1/1/2019,siang,NaN
1/1/2019,malam,NaN
1/2/2019,siang,NaN
1/2/2019,malam,NaN
1/3/2019,siang,NaN
1/3/2019,malam,NaN
1/4/2019,siang,NaN
1/4/2019,malam,NaN
1/5/2019,siang,NaN
1/5/2019,malam,NaN
1/6/2019,siang,NaN
1/6/2019,malam,NaN
1/7/2019,siang,NaN
1/7/2019,malam,NaN
1/8/2019,siang,NaN
1/8/2019,malam,NaN
1/9/2019,siang,NaN
1/9/2019,malam,NaN
1/10/2019,siang,NaN
1/10/2019,malam,NaN
1/11/2019,siang,NaN
1/11/2019,malam,NaN
1/12/2019,siang,NaN
1/12/2019,malam,NaN
1/13/2019,siang,NaN
1/13/2019,malam,NaN
1/14/2019,siang,NaN
1/14/2019,malam,NaN
1/15/2019,siang,NaN
1/15/2019,malam,NaN
1/16/2019,siang,NaN
1/16/2019,malam,NaN
1/17/2019,siang,NaN
1/17/2019,malam,NaN
1/18/2019,siang,NaN
1/18/2019,malam,NaN
1/19/2019,siang,NaN
1/19/2019,malam,NaN
1/20/2019,siang,NaN
1/20/2019,malam,NaN
1/21/2019,siang,NaN
1/21/2019,malam,NaN
1/22/2019,siang,NaN
1/22/2019,malam,NaN
1/23/2019,siang,NaN
1/23/2019,malam,NaN
1/24/2019,siang,NaN
1/24/2019,malam,NaN
1/25/2019,siang,NaN
1/25/2019,malam,NaN
1/26/2019,siang,NaN
1/26/2019,malam,NaN
1/27/2019,siang,NaN
1/27/2019,malam,NaN
1/28/2019,siang,NaN
1/28/2019,malam,NaN
1/29/2019,siang,NaN
1/29/2019,malam,NaN
1/30/2019,siang,NaN
1/30/2019,malam,NaN
1/31/2019,siang,NaN
1/31/2019,malam,NaN
2/1/2019,siang,NaN
2/1/2019,malam,NaN
2/2/2019,siang,NaN
2/2/2019,malam,NaN
2/3/2019,siang,NaN
2/3/2019,malam,NaN
2/4/2019,siang,NaN
2/4/2019,malam,NaN
2/5/2019,siang,NaN
2/5/2019,malam,NaN
2/6/2019,siang,NaN
2/6/2019,malam,NaN
2/7/2019,siang,NaN
2/7/2019,malam,NaN
2/8/2019,siang,NaN
2/8/2019,malam,NaN
2/9/2019,siang,NaN
2/9/2019,malam,NaN
2/10/2019,siang,NaN
2/10/2019,malam,NaN
2/11/2019,siang,NaN
2/11/2019,malam,NaN
2/12/2019,siang,NaN
2/12/2019,malam,NaN
2/13/2019,siang,NaN
2/13/2019,malam,NaN
2/14/2019,siang,NaN
2/14/2019,malam,NaN
2/15/2019,siang,NaN
2/15/2019,malam,NaN
2/16/2019,siang,NaN
2/16/2019,malam,NaN
2/17/2019,siang,NaN
2/17/2019,malam,NaN
2/18/2019,siang,NaN
2/18/2019,malam,NaN
2/19/2019,siang,NaN
2/19/2019,malam,NaN
2/20/2019,siang,NaN
2/20/2019,malam,NaN
2/21/2019,siang,NaN
2/21/2019,malam,NaN
2/22/2019,siang,NaN
2/22/2019,malam,NaN
2/23/2019,siang,NaN
2/23/2019,malam,NaN
2/24/2019,siang,NaN
2/24/2019,malam,NaN
2/25/2019,siang,NaN
2/25/2019,malam,NaN
2/26/2019,siang,NaN
2/26/2019,malam,NaN
2/27/2019,siang,NaN
2/27/2019,malam,NaN
2/28/2019,siang,NaN
2/28/2019,malam,NaN
3/1/2019,siang,NaN
3/1/2019,malam,NaN
3/2/2019,siang,NaN
3/2/2019,malam,NaN
3/3/2019,siang,NaN
3/3/2019,malam,NaN
3/4/2019,siang,NaN
3/4/2019,malam,NaN
3/5/2019,siang,NaN
3/5/2019,malam,NaN
3/6/2019,siang,NaN
3/6/2019,malam,NaN
3/7/2019,siang,NaN
3/7/2019,malam,NaN
3/8/2019,siang,NaN
3/8/2019,malam,NaN
3/9/2019,siang,NaN
3/9/2019,malam,NaN
3/10/2019,siang,NaN
3/10/2019,malam,NaN
3/11/2019,siang,NaN
3/11/2019,malam,NaN
3/12/2019,siang,NaN
3/12/2019,malam,NaN
3/13/2019,siang,NaN
3/13/2019,malam,NaN
3/14/2019,siang,NaN
3/14/2019,malam,NaN
3/15/2019,siang,NaN
3/15/2019,malam,NaN
3/16/2019,siang,NaN
3/16/2019,malam,NaN
3/17/2019,siang,NaN
3/17/2019,malam,NaN
3/18/2019,siang,NaN
3/18/2019,malam,NaN
3/19/2019,siang,NaN
3/19/2019,malam,NaN
3/20/2019,siang,NaN
3/20/2019,malam,NaN
3/21/2019,siang,NaN
3/21/2019,malam,NaN
3/22/2019,siang,NaN
3/22/2019,malam,NaN
3/23/2019,siang,NaN
3/23/2019,malam,NaN
3/24/2019,siang,NaN
3/24/2019,malam,NaN
3/25/2019,siang,NaN
3/25/2019,malam,NaN
3/26/2019,siang,NaN
3/26/2019,malam,NaN
3/27/2019,siang,NaN
3/27/2019,malam,NaN
3/28/2019,siang,NaN
3/28/2019,malam,NaN
3/29/2019,siang,NaN
3/29/2019,malam,NaN
3/30/2019,siang,NaN
3/30/2019,malam,NaN
3/31/2019,siang,NaN
3/31/2019,malam,NaN
4/1/2019,siang,NaN
4/1/2019,malam,NaN
4/2/2019,siang,NaN
4/2/2019,malam,NaN
4/3/2019,siang,NaN
4/3/2019,malam,NaN
4/4/2019,siang,NaN
4/4/2019,malam,NaN
4/5/2019,siang,NaN
4/5/2019,malam,NaN
4/6/2019,siang,NaN
4/6/2019,malam,NaN
4/7/2019,siang,NaN
4/7/2019,malam,NaN
4/8/2019,siang,NaN
4/8/2019,malam,NaN
4/9/2019,siang,NaN
4/9/2019,malam,NaN
4/10/2019,siang,NaN
4/10/2019,malam,NaN
4/11/2019,siang,NaN
4/11/2019,malam,NaN
4/12/2019,siang,NaN
4/12/2019,malam,NaN
4/13/2019,siang,NaN
4/13/2019,malam,NaN
4/14/2019,siang,NaN
4/14/2019,malam,NaN
4/15/2019,siang,NaN
4/15/2019,malam,NaN
4/16/2019,siang,NaN
4/16/2019,malam,NaN
4/17/2019,siang,NaN
4/17/2019,malam,NaN
4/18/2019,siang,NaN
4/18/2019,malam,NaN
4/19/2019,siang,NaN
4/19/2019,malam,NaN
4/20/2019,siang,NaN
4/20/2019,malam,NaN
4/21/2019,siang,NaN
4/21/2019,malam,NaN
4/22/2019,siang,NaN
4/22/2019,malam,NaN
4/23/2019,siang,NaN
4/23/2019,malam,NaN
4/24/2019,siang,NaN
4/24/2019,malam,NaN
4/25/2019,siang,NaN
4/25/2019,malam,NaN
4/26/2019,siang,NaN
4/26/2019,malam,NaN
4/27/2019,siang,NaN
4/27/2019,malam,NaN
4/28/2019,siang,NaN
4/28/2019,malam,NaN
4/29/2019,siang,NaN
4/29/2019,malam,NaN
4/30/2019,siang,NaN
4/30/2019,malam,NaN
5/1/2019,siang,NaN
5/1/2019,malam,NaN
5/2/2019,siang,NaN
5/2/2019,malam,NaN
5/3/2019,siang,NaN
5/3/2019,malam,NaN
5/4/2019,siang,NaN
5/4/2019,malam,NaN
5/5/2019,siang,NaN
5/5/2019,malam,NaN
5/6/2019,siang,NaN
5/6/2019,malam,NaN
5/7/2019,siang,NaN
5/7/2019,malam,NaN
5/8/2019,siang,NaN
5/8/2019,malam,NaN
5/9/2019,siang,NaN
5/9/2019,malam,NaN
5/10/2019,siang,NaN
5/10/2019,malam,NaN
5/11/2019,siang,NaN
5/11/2019,malam,NaN
5/12/2019,siang,NaN
5/12/2019,malam,NaN
5/13/2019,siang,NaN
5/13/2019,malam,NaN
5/14/2019,siang,NaN
5/14/2019,malam,NaN
5/15/2019,siang,NaN
5/15/2019,malam,NaN
5/16/2019,siang,NaN
5/16/2019,malam,NaN
5/17/2019,siang,NaN
5/17/2019,malam,NaN
5/18/2019,siang,NaN
5/18/2019,malam,NaN
5/19/2019,siang,NaN
5/19/2019,malam,NaN
5/20/2019,siang,NaN
5/20/2019,malam,NaN
5/21/2019,siang,NaN
5/21/2019,malam,NaN
5/22/2019,siang,NaN
5/22/2019,malam,NaN
5/23/2019,siang,NaN
5/23/2019,malam,NaN
5/24/2019,siang,NaN
5/24/2019,malam,NaN
5/25/2019,siang,NaN
5/25/2019,malam,NaN
5/26/2019,siang,NaN
5/26/2019,malam,NaN
5/27/2019,siang,NaN
5/27/2019,malam,NaN
5/28/2019,siang,NaN
5/28/2019,malam,NaN
5/29/2019,siang,NaN
5/29/2019,malam,NaN
5/30/2019,siang,NaN
5/30/2019,malam,NaN
5/31/2019,siang,NaN
5/31/2019,malam,NaN
6/1/2019,siang,NaN
6/1/2019,malam,NaN
6/2/2019,siang,NaN
6/2/2019,malam,NaN
6/3/2019,siang,NaN
6/3/2019,malam,NaN
6/4/2019,siang,NaN
6/4/2019,malam,NaN
6/5/2019,siang,NaN
6/5/2019,malam,NaN
6/6/2019,siang,NaN
6/6/2019,malam,NaN
6/7/2019,siang,NaN
6/7/2019,malam,NaN
6/8/2019,siang,NaN
6/8/2019,malam,NaN
6/9/2019,siang,NaN
6/9/2019,malam,NaN
6/10/2019,siang,NaN
6/10/2019,malam,NaN
6/11/2019,siang,NaN
6/11/2019,malam,NaN
6/12/2019,siang,NaN
6/12/2019,malam,NaN
6/13/2019,siang,NaN
6/13/2019,malam,NaN
6/14/2019,siang,NaN
6/14/2019,malam,NaN
6/15/2019,siang,NaN
6/15/2019,malam,NaN
6/16/2019,siang,NaN
6/16/2019,malam,NaN
6/17/2019,siang,NaN
6/17/2019,malam,NaN
6/18/2019,siang,NaN
6/18/2019,malam,NaN
6/19/2019,siang,NaN
6/19/2019,malam,NaN
6/20/2019,siang,NaN
6/20/2019,malam,NaN
6/21/2019,siang,NaN
6/21/2019,malam,NaN
6/22/2019,siang,NaN
6/22/2019,malam,NaN
6/23/2019,siang,NaN
