Tanggal,Waktu,Beban
1/1/2019,siang,75
1/1/2019,malam,100
1/2/2019,siang,94
1/2/2019,malam,126
1/3/2019,siang,108
1/3/2019,malam,132
1/4/2019,siang,110
1/4/2019,malam,137
1/5/2019,siang,117
1/5/2019,malam,142
1/6/2019,siang,107
1/6/2019,malam,130
1/7/2019,siang,123
1/7/2019,malam,135
1/8/2019,siang,118
1/8/2019,malam,141
1/9/2019,siang,124
1/9/2019,malam,143
1/10/2019,siang,124
1/10/2019,malam,130
1/11/2019,siang,NaN
1/11/2019,malam,134
1/12/2019,siang,124
1/12/2019,malam,137
1/13/2019,siang,111
1/13/2019,malam,134
1/14/2019,siang,120
1/14/2019,malam,136
1/15/2019,siang,127
1/15/2019,malam,0
1/16/2019,siang,129
1/16/2019,malam,138
1/17/2019,siang,125
1/17/2019,malam,121
1/18/2019,siang,121
1/18/2019,malam,137
1/19/2019,siang,115
1/19/2019,malam,136
1/20/2019,siang,104
1/20/2019,malam,121
1/21/2019,siang,111
1/21/2019,malam,142
1/22/2019,siang,129
1/22/2019,malam,137
1/23/2019,siang,123
1/23/2019,malam,134
1/24/2019,siang,123
1/24/2019,malam,139
1/25/2019,siang,133
1/25/2019,malam,133
1/26/2019,siang,121
1/26/2019,malam,143
1/27/2019,siang,105
1/27/2019,malam,123
1/28/2019,siang,114
1/28/2019,malam,148
1/29/2019,siang,129
1/29/2019,malam,153
1/30/2019,siang,134
1/30/2019,malam,142
1/31/2019,siang,128
1/31/2019,malam,NaN
2/1/2019,siang,133
2/1/2019,malam,146
2/2/2019,siang,129
2/2/2019,malam,134
2/3/2019,siang,106
2/3/2019,malam,104
2/4/2019,siang,123
2/4/2019,malam,136
2/5/2019,siang,116
2/5/2019,malam,131
2/6/2019,siang,130
2/6/2019,malam,146
2/7/2019,siang,136
2/7/2019,malam,149
2/8/2019,siang,130
2/8/2019,malam,141
2/9/2019,siang,123
2/9/2019,malam,146
2/10/2019,siang,111
2/10/2019,malam,127
2/11/2019,siang,111
2/11/2019,malam,142
2/12/2019,siang,129
2/12/2019,malam,152
2/13/2019,siang,126
2/13/2019,malam,154
2/14/2019,siang,129
2/14/2019,malam,144
2/15/2019,siang,128
2/15/2019,malam,135
2/16/2019,siang,116
2/16/2019,malam,140
2/17/2019,siang,98
2/17/2019,malam,118
2/18/2019,siang,105
2/18/2019,malam,144
2/19/2019,siang,131
2/19/2019,malam,143
2/20/2019,siang,124
2/20/2019,malam,NaN
2/21/2019,siang,124
2/21/2019,malam,144
2/22/2019,siang,135
2/22/2019,malam,133
2/23/2019,siang,134
2/23/2019,malam,140
2/24/2019,siang,98
2/24/2019,malam,118
2/25/2019,siang,105
2/25/2019,malam,144
2/26/2019,siang,128
2/26/2019,malam,150
2/27/2019,siang,133
2/27/2019,malam,153
2/28/2019,siang,144
2/28/2019,malam,NaN
3/1/2019,siang,131
3/1/2019,malam,131
3/2/2019,siang,124
3/2/2019,malam,140
3/3/2019,siang,109
3/3/2019,malam,130
3/4/2019,siang,121
3/4/2019,malam,144
3/5/2019,siang,129
3/5/2019,malam,129
3/6/2019,siang,122
3/6/2019,malam,133
3/7/2019,siang,110
3/7/2019,malam,116
3/8/2019,siang,112
3/8/2019,malam,134
3/9/2019,siang,127
3/9/2019,malam,144
3/10/2019,siang,101
3/10/2019,malam,121
3/11/2019,siang,117
3/11/2019,malam,148
3/12/2019,siang,124
3/12/2019,malam,146
3/13/2019,siang,125
3/13/2019,malam,139
3/14/2019,siang,129
3/14/2019,malam,136
3/15/2019,siang,117
3/15/2019,malam,124
3/16/2019,siang,118
3/16/2019,malam,133
3/17/2019,siang,100
3/17/2019,malam,121
3/18/2019,siang,105
3/18/2019,malam,134
3/19/2019,siang,128
3/19/2019,malam,138
3/20/2019,siang,127
3/20/2019,malam,137
3/21/2019,siang,128
3/21/2019,malam,139
3/22/2019,siang,130
3/22/2019,malam,145
3/23/2019,siang,121
3/23/2019,malam,137
3/24/2019,siang,90
3/24/2019,malam,108
3/25/2019,siang,107
3/25/2019,malam,131
3/26/2019,siang,127
3/26/2019,malam,132
3/27/2019,siang,121
3/27/2019,malam,142
3/28/2019,siang,121
3/28/2019,malam,136
3/29/2019,siang,130
3/29/2019,malam,145
3/30/2019,siang,122
3/30/2019,malam,141
3/31/2019,siang,104
3/31/2019,malam,133
4/1/2019,siang,118
4/1/2019,malam,234
4/2/2019,siang,230
4/2/2019,malam,236
4/3/2019,siang,251
4/3/2019,malam,121
4/4/2019,siang,120
4/4/2019,malam,141
4/5/2019,siang,127
4/5/2019,malam,137
4/6/2019,siang,127
4/6/2019,malam,145
4/7/2019,siang,95
4/7/2019,malam,113
4/8/2019,siang,120
4/8/2019,malam,146
4/9/2019,siang,125
4/9/2019,malam,141
4/10/2019,siang,116
4/10/2019,malam,136
4/11/2019,siang,121
4/11/2019,malam,138
4/12/2019,siang,116
4/12/2019,malam,140
4/13/2019,siang,120
4/13/2019,malam,139
4/14/2019,siang,260
4/14/2019,malam,119
4/15/2019,siang,109
4/15/2019,malam,137
4/16/2019,siang,129
4/16/2019,malam,145
4/17/2019,siang,103
4/17/2019,malam,118
4/18/2019,siang,116
4/18/2019,malam,151
4/19/2019,siang,123
4/19/2019,malam,154
4/20/2019,siang,131
4/20/2019,malam,137
4/21/2019,siang,110
4/21/2019,malam,127
4/22/2019,siang,115
4/22/2019,malam,147
4/23/2019,siang,138
4/23/2019,malam,145
4/24/2019,siang,134
4/24/2019,malam,134
4/25/2019,siang,140
