Tanggal,Waktu,Beban
1/1/2019,siang,1
1/1/2019,malam,2
1/2/2019,siang,3
1/2/2019,malam,4
1/3/2019,siang,5
1/3/2019,malam,6
1/4/2019,siang,7
1/4/2019,malam,8
1/5/2019,siang,9
1/5/2019,malam,10
1/6/2019,siang,11
1/6/2019,malam,12
1/7/2019,siang,13
1/7/2019,malam,14
1/8/2019,siang,15
1/8/2019,malam,16
1/9/2019,siang,17
1/9/2019,malam,18
1/10/2019,siang,19
1/10/2019,malam,20
1/11/2019,siang,21
1/11/2019,malam,22
1/12/2019,siang,23
1/12/2019,malam,24
1/13/2019,siang,25
1/13/2019,malam,26
1/14/2019,siang,27
1/14/2019,malam,28
1/15/2019,siang,29
1/15/2019,malam,30
1/16/2019,siang,31
1/16/2019,malam,32
1/17/2019,siang,33
1/17/2019,malam,34
1/18/2019,siang,35
1/18/2019,malam,36
1/19/2019,siang,37
1/19/2019,malam,38
1/20/2019,siang,39
1/20/2019,malam,40
1/21/2019,siang,41
1/21/2019,malam,42
1/22/2019,siang,43
1/22/2019,malam,44
1/23/2019,siang,45
1/23/2019,malam,46
1/24/2019,siang,47
1/24/2019,malam,48
1/25/2019,siang,49
1/25/2019,malam,50
1/26/2019,siang,51
1/26/2019,malam,52
1/27/2019,siang,53
1/27/2019,malam,54
1/28/2019,siang,55
1/28/2019,malam,56
1/29/2019,siang,57
1/29/2019,malam,58
1/30/2019,siang,59
1/30/2019,malam,60
1/31/2019,siang,61
1/31/2019,malam,62
2/1/2019,siang,63
2/1/2019,malam,64
2/2/2019,siang,65
2/2/2019,malam,66
2/3/2019,siang,67
2/3/2019,malam,68
2/4/2019,siang,69
2/4/2019,malam,70
2/5/2019,siang,71
2/5/2019,malam,72
2/6/2019,siang,73
2/6/2019,malam,74
2/7/2019,siang,75
2/7/2019,malam,76
2/8/2019,siang,77
2/8/2019,malam,78
2/9/2019,siang,79
2/9/2019,malam,80
2/10/2019,siang,81
2/10/2019,malam,82
2/11/2019,siang,83
2/11/2019,malam,84
2/12/2019,siang,85
2/12/2019,malam,86
2/13/2019,siang,87
2/13/2019,malam,88
2/14/2019,siang,89
2/14/2019,malam,90
2/15/2019,siang,91
2/15/2019,malam,92
2/16/2019,siang,93
2/16/2019,malam,94
2/17/2019,siang,95
2/17/2019,malam,96
2/18/2019,siang,97
2/18/2019,malam,98
2/19/2019,siang,99
2/19/2019,malam,100
2/20/2019,siang,101
2/20/2019,malam,102
2/21/2019,siang,103
2/21/2019,malam,104
2/22/2019,siang,105
2/22/2019,malam,106
2/23/2019,siang,107
2/23/2019,malam,108
2/24/2019,siang,109
2/24/2019,malam,110
2/25/2019,siang,111
2/25/2019,malam,112
2/26/2019,siang,113
2/26/2019,malam,114
2/27/2019,siang,115
2/27/2019,malam,116
2/28/2019,siang,117
2/28/2019,malam,118
3/1/2019,siang,119
3/1/2019,malam,120
3/2/2019,siang,121
3/2/2019,malam,122
3/3/2019,siang,123
3/3/2019,malam,124
3/4/2019,siang,125
3/4/2019,malam,126
3/5/2019,siang,127
3/5/2019,malam,128
3/6/2019,siang,129
3/6/2019,malam,130
3/7/2019,siang,131
3/7/2019,malam,132
3/8/2019,siang,133
3/8/2019,malam,134
3/9/2019,siang,135
3/9/2019,malam,136
3/10/2019,siang,137
3/10/2019,malam,138
3/11/2019,siang,139
3/11/2019,malam,140
3/12/2019,siang,141
3/12/2019,malam,142
3/13/2019,siang,143
3/13/2019,malam,144
3/14/2019,siang,145
